Iteration                Wall_Time                Samples                  Train_Return             Train_Count              Test_Return              Test_Count               State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Exp_Temp                 Exp_Samples              Critic_Loss              Critic_Stepsize          Critic_Steps             Actor_Loss               Actor_Stepsize           Actor_Steps              Adv_Mean                 Adv_Std                  
50                       0.08620473616653018      148543                   860.6033745067934        148                      996.1325152618999        32                       0.013173427              0.24052106               0                        0                        1.0                      0.2                      10.000000000000002       149393                   0.0007873388             0.01                     8201                     2.5782442                5e-05                    41005                    0.1824981                3.9720852                
100                      0.17595733715428247      290716                   880.0792771981713        155                      1188.2701579623936       32                       0.013856245              0.24844071               0                        0                        1.0                      0.2                      10.000000000000002       290541                   0.002237411              0.01                     17880                    2.2775977                5e-05                    89400                    0.24091506               6.699933                 
150                      0.2610210109419293       416220                   800.701905957146         180                      1483.270486608717        32                       0.0140248                0.24915491               0                        0                        1.0                      0.2                      10.000000000000002       416735                   0.00606905               0.01                     27551                    2.227743                 5e-05                    137755                   -0.036313944             10.974704                
200                      0.3415707825289832       538917                   673.3048280456486        220                      929.4435919612732        32                       0.0140248                0.24915491               0                        0                        1.0                      0.2                      10.000000000000002       538256                   0.009383692              0.01                     37252                    2.3243766                5e-05                    186260                   -0.010623285             13.68933                 
250                      0.42042208671569825      659468                   655.3146662130987        232                      737.2251693039374        32                       0.0140248                0.24915491               0                        0                        1.0                      0.2                      10.000000000000002       658598                   0.008867205              0.01                     46947                    2.4140842                5e-05                    234735                   0.4053665                13.339318                
300                      0.500147377649943        781592                   634.9649495299303        228                      752.8546096299943        32                       0.0140248                0.24915491               0                        0                        1.0                      0.2                      10.000000000000002       781427                   0.008985829              0.01                     56647                    2.2848134                5e-05                    283235                   -0.050714776             13.348734                
350                      0.5799083932240804       906744                   602.1230409460132        240                      577.4253155702759        32                       0.0140248                0.24915491               0                        0                        1.0                      0.2                      10.000000000000002       905455                   0.008560095              0.01                     66341                    2.49729                  5e-05                    331705                   0.0050623594             13.061391                
400                      0.6615770414140489       1029927                  619.9157493185379        228                      916.0765026566738        32                       0.0140248                0.24915491               0                        0                        1.0                      0.2                      10.000000000000002       1028387                  0.00975426               0.01                     76044                    2.4265633                5e-05                    380220                   -0.08962045              13.760951                
450                      0.7413036653730605       1149584                  565.588334568071         233                      803.2316499642388        32                       0.0140248                0.24915491               0                        0                        1.0                      0.2                      10.000000000000002       1148718                  0.00904245               0.01                     85725                    2.493916                 5e-05                    428625                   -0.1515522               13.5842705               
500                      0.821801676220364        1269371                  566.8389214820837        241                      950.6816208440958        32                       0.0140248                0.24915491               0                        0                        1.0                      0.2                      10.000000000000002       1268264                  0.0081617795             0.01                     95415                    2.3342009                5e-05                    477075                   0.020819582              12.812298                
550                      0.9043827586041556       1395470                  625.382472534466         222                      1017.7842341791601       32                       0.0140248                0.24915491               0                        0                        1.0                      0.2                      10.000000000000002       1394141                  0.0073474236             0.01                     105107                   2.668517                 5e-05                    525535                   0.0027255039             12.2532625               
600                      0.9857562475072013       1519759                  631.6315707562242        223                      981.3217928646577        32                       0.0140248                0.24915491               0                        0                        1.0                      0.2                      10.000000000000002       1518207                  0.0095607275             0.01                     114800                   2.447544                 5e-05                    574000                   -0.39093587              13.72447                 
650                      1.066113612320688        1640713                  644.6446986772133        227                      834.0087883170324        32                       0.0140248                0.24915491               0                        0                        1.0                      0.2                      10.000000000000002       1638934                  0.011284302              0.01                     124484                   2.351823                 5e-05                    622420                   0.33933982               14.874618                
700                      1.1480287573072645       1763474                  688.4152451676313        204                      1266.79131955226         32                       0.0140248                0.24915491               0                        0                        1.0                      0.2                      10.000000000000002       1761283                  0.008203423              0.01                     134171                   2.4989707                5e-05                    670855                   -0.07649904              12.718703                
750                      1.229448336561521        1883971                  637.7241991379005        223                      1287.6899488373733       32                       0.0140248                0.24915491               0                        0                        1.0                      0.2                      10.000000000000002       1881594                  0.009586495              0.01                     143872                   2.4350588                5e-05                    719360                   -0.17131895              13.509603                
