Iteration                Wall_Time                Samples                  Train_Return             Train_Count              Test_Return              Test_Count               State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Exp_Temp                 Exp_Samples              Critic_Loss              Critic_Stepsize          Critic_Steps             Actor_Loss               Actor_Stepsize           Actor_Steps              Adv_Mean                 Adv_Std                  Adv_Weights_Min          Adv_Weights_Mean         Adv_Weights_Max          
50                       0.1086223672495948       146575                   856.6595261056417        148                      1003.3701056140637       32                       0.0080971                0.24514908               0                        0                        1.0                      0.2                      10.000000000000002       147425                   0.000956194              0.01                     14403                    2.5771725                5e-05                    71996                    0.20567657               4.415935                 8.619628e-10             1.5379007                64.35581                 
100                      0.2143114446931415       285470                   852.9911958230082        160                      1111.202196110059        32                       0.008607722              0.25438                  0                        0                        1.0                      0.2                      10.000000000000002       286160                   0.002660992              0.01                     27965                    2.2812965                5e-05                    139754                   0.12517563               7.340654                 2.4977987e-06            1.3572607                33.9621                  
150                      0.3112656637032827       412994                   834.6495244992371        167                      1166.1510182513175       32                       0.008779763              0.2556623                0                        0                        1.0                      0.2                      10.000000000000002       413517                   0.00441615               0.01                     40424                    2.3080122                5e-05                    201960                   0.24220058               9.398103                 4.642185e-05             1.3549216                67.89509                 
200                      0.4084193768766191       542679                   749.5285740729911        193                      1321.1273485121533       32                       0.008779763              0.2556623                0                        0                        1.0                      0.2                      10.000000000000002       543009                   0.005731426              0.01                     53090                    2.5894775                5e-05                    265209                   -0.1547852               10.72585                 3.9327926e-05            1.4400066                592.1421                 
250                      0.5023128135999044       670058                   722.4334601753349        200                      1134.5814837087378       32                       0.008779763              0.2556623                0                        0                        1.0                      0.2                      10.000000000000002       670075                   0.006502518              0.01                     65523                    2.661067                 5e-05                    327280                   -0.019316271             11.399642                8.7432825e-05            1.4494001                551.12317                
300                      0.5935242446925905       791279                   692.7563837035449        193                      1238.0055119395317       32                       0.008779763              0.2556623                0                        0                        1.0                      0.2                      10.000000000000002       791216                   0.006054347              0.01                     77377                    2.7982728                5e-05                    386458                   0.03707728               11.0321865               9.150097e-05             1.5339456                630.7409                 
350                      0.6889491468005711       920523                   631.0146372370518        214                      927.3568223645236        32                       0.008779763              0.2556623                0                        0                        1.0                      0.2                      10.000000000000002       919593                   0.006174562              0.01                     89935                    2.5331566                5e-05                    449167                   -0.12714785              11.133367                4.7487512e-05            1.476451                 2319.7078                
400                      0.782453518708547        1045069                  572.3287855161827        221                      1095.307185030614        32                       0.008779763              0.2556623                0                        0                        1.0                      0.2                      10.000000000000002       1044571                  0.006388515              0.01                     102169                   2.6338987                5e-05                    510219                   -0.1886292               11.127015                6.740678e-05             1.4108281                250.23952                
450                      0.8732137244939804       1167762                  594.3976417586414        215                      1100.61139258142         32                       0.008779763              0.2556623                0                        0                        1.0                      0.2                      10.000000000000002       1167049                  0.006472122              0.01                     114155                   2.6244287                5e-05                    570048                   0.06505091               11.200776                7.41177e-05              1.514766                 2536.9587                
500                      0.9609433947669135       1288648                  549.2697390115395        211                      887.639748662661         32                       0.008779763              0.2556623                0                        0                        1.0                      0.2                      10.000000000000002       1287724                  0.005314764              0.01                     125966                   2.6398203                5e-05                    628997                   -0.009957673             10.313569                2.695239e-05             1.5569322                5890.168                 
550                      1.0503173310889138       1409985                  495.01038571343355       220                      974.9401878561954        32                       0.008779763              0.2556623                0                        0                        1.0                      0.2                      10.000000000000002       1408841                  0.00589377               0.01                     137817                   2.7858253                5e-05                    688156                   0.07973555               10.73834                 0.00020753981            3.3216934                60799.797                
600                      1.1392141953441832       1532969                  525.8176548081796        214                      912.9163867926902        32                       0.008779763              0.2556623                0                        0                        1.0                      0.2                      10.000000000000002       1531611                  0.0062770867             0.01                     149828                   2.7929482                5e-05                    748130                   0.018242437              11.27503                 0.0001442877             1.5111265                836.6696                 
650                      1.2265338432126576       1653047                  463.38638571318137       234                      894.6940409835322        32                       0.008779763              0.2556623                0                        0                        1.0                      0.2                      10.000000000000002       1651455                  0.0068431287             0.01                     161557                   2.5698938                5e-05                    806671                   0.24641563               11.651116                0.0002225038             1.4360964                1163.2863                
700                      1.3157666798432668       1778803                  509.609216886343         215                      828.828706173042         32                       0.008779763              0.2556623                0                        0                        1.0                      0.2                      10.000000000000002       1776996                  0.005803074              0.01                     173841                   2.6392727                5e-05                    867994                   -0.00972927              10.795259                9.497e-05                1.4634451                364.7252                 
750                      1.4030527251958846       1900893                  508.89335762883286       208                      813.8130341387738        32                       0.008779763              0.2556623                0                        0                        1.0                      0.2                      10.000000000000002       1898878                  0.00624559               0.01                     185767                   2.6454024                5e-05                    927529                   -0.28186104              11.034569                9.6109725e-05            1.4479905                205.66931                
800                      1.49306456108888         2025922                  496.3990182030128        213                      870.0528371302272        32                       0.008779763              0.2556623                0                        0                        1.0                      0.2                      10.000000000000002       2023694                  0.005592087              0.01                     197983                   2.7633471                5e-05                    988501                   0.07473312               10.439951                0.00014324843            1.478742                 558.0043                 
