Iteration                Wall_Time                Samples                  Train_Return             Train_Paths              Test_Return              Test_Paths               Critic_Loss              Critic_Steps             Actor_Loss               Actor_Steps              Adv_Mean                 Adv_Std                  Adv_Weights_Min          Adv_Weights_Mean         Adv_Weights_Max          
0                        0.001216443247265286     3003                     851.9493349957452        3                        1000.5658838933954       32                       0.007411229325642765     293                      -2.6258127466403582      1465                     14.027676                7.94027                  0.026292756              1.640036                 29.623697                
50                       0.15872230589389802      147847                   867.5949011763006        153                      1145.4165712828585       32                       0.001770909328916374     14430                    -2.280299934673635       72128                    0.1722659                5.987021                 1.3904909e-07            1.4137725                37.42543                 
100                      0.30767618695894877      282098                   910.3471852547078        160                      1244.863508365608        32                       0.0028323381482767114    27541                    -2.327208450922357       137622                   0.31436056               7.5160565                1.2115102e-06            1.4013978                200.09369                
150                      0.44683931946754457      409393                   828.0403169661062        185                      1418.7722221690376       32                       0.005112361162900925     39975                    -2.215166911062402       199708                   0.007976318              10.075026                7.4217605e-06            1.5011134                2007.267                 
200                      0.5841038084692425       533427                   813.5066745757892        182                      1237.3436738906507       32                       0.006717318813550418     52093                    -2.2693614033140466      260207                   -0.0617184               11.527255                2.2941505e-05            1.5826442                6234.401                 
250                      0.719711548950937        656297                   722.5959858254146        212                      1300.5018739034883       32                       0.009143050302538955     64093                    -2.2711393143277263      320124                   0.10975284               13.371016                9.501203e-05             1.3836209                391.86252                
300                      0.8551633621586694       779157                   657.7925485950724        220                      1198.7592697809641       32                       0.008045306838894286     76091                    -2.296795380095674       380031                   -0.11865249              12.642489                5.403688e-05             1.4812882                1538.1652                
350                      0.9861267123619716       898093                   663.0709678583416        229                      1171.0059594685065       32                       0.01064564069112142      87707                    -2.299686421694123       438017                   0.14855562               14.480874                0.0001122345             1.4236827                1389.2699                
400                      1.122768166926172        1022940                  731.048684963664         204                      1265.3476973781792       32                       0.00841944453659318      99899                    -2.334872446938993       498902                   -0.15232976              13.035988                2.1844347e-05            1.4699885                3026.1548                
450                      1.25839527103636         1148193                  685.5854933257087        222                      1270.5529829091386       32                       0.009375993945017582     112134                   -2.2920300005260943      559976                   -0.20763254              13.709567                7.173047e-05             1.7310716                11560.744                
500                      1.3913840313090218       1270096                  668.1347030063143        224                      981.5718556430901        32                       0.009391599338546937     124043                   -2.3560526678451947      619416                   0.040771417              13.733953                5.3800035e-05            1.5815434                6567.9814                
550                      1.5240065013700062       1394808                  673.2363957038408        225                      1193.5960373574046       32                       0.009722294150919153     136220                   -2.3279360964127083      680220                   -0.15907699              13.995091                5.150588e-05             1.5381932                6048.2217                
600                      1.656915553410848        1516248                  664.2899902121071        225                      1184.4565961507856       32                       0.010525020333223565     148082                   -2.364258039607558       739435                   -0.027436456             14.390456                0.00014391843            1.3745703                386.53687                
650                      1.7889540268977484       1639201                  677.5279033636065        219                      1191.1994741932397       32                       0.010222054992519549     160092                   -2.3341785209577646      799389                   0.07427124               14.450508                0.00014187297            1.4325519                2279.774                 
700                      1.9233842142422994       1762877                  717.4815782983464        220                      1310.2462394179477       32                       0.009680527012522628     172173                   -2.3756320476531982      859695                   0.07235806               13.771836                6.503879e-05             1.4370375                819.7564                 
750                      2.0581009374724495       1887831                  721.2979411614823        227                      1080.4555610852983       32                       0.011661642526527006     184378                   -2.3306636303926993      920619                   0.098961435              15.038514                0.0001002909             1.8509732                10759.481                
800                      2.191371894147661        2012435                  799.8540412519433        212                      1273.8421072270116       32                       0.01036934812360675      196551                   -2.327537865529903       981380                   0.1716091                14.456534                0.00010342189            1.4561331                1483.4949                
850                      2.3235508684979544       2134920                  769.8678274858078        212                      1577.4945564297855       32                       0.01121093358023692      208519                   -2.2715166512182203      1041109                  -0.09383114              15.099775                0.00012368422            1.7050114                8998.221                 
900                      2.4574195361799664       2256991                  684.2054714199044        233                      1334.6837310622868       32                       0.01313928211704966      220444                   -2.285736699612752       1100625                  -0.17794119              15.89801                 0.00024825928            1.3361797                159.01262                
950                      2.592398930920495        2382477                  768.151257820969         223                      1328.8573126399997       32                       0.011007740384056455     232699                   -2.2983929914489374      1161812                  0.2347732                14.835035                6.0954648e-05            1.4352117                533.195                  
1000                     2.7251312020089893       2506053                  688.056996102448         239                      1396.3614612456706       32                       0.013880362528811844     244770                   -2.3106842854507805      1222059                  0.297803                 16.56539                 0.00022520842            1.3841025                228.63351                
1050                     2.85651344107257         2627005                  731.1628410952454        219                      1298.1260508951498       32                       0.013187125177666693     256582                   -2.3477612619239348      1281036                  -0.16691552              16.19568                 0.00023758026            1.3745921                248.65575                
1100                     2.9936779295073617       2755490                  817.9622471313126        213                      1404.5872629076523       32                       0.011841569397900556     269131                   -2.3543648313282306      1343692                  -0.41958934              15.368678                9.779833e-05             1.4429278                2665.388                 
1150                     3.1281426413853963       2878907                  852.8598533880946        204                      1708.5960123745087       32                       0.013637021252009423     281187                   -2.3626351923131854      1403877                  -0.22002234              16.305897                0.00011047897            1.3816171                236.23071                
1200                     3.2606522568066914       3001294                  824.8501564166783        217                      1300.39034244428         32                       0.015147049684782286     293142                   -2.2663498337204393      1463557                  0.04150518               17.161478                0.00016470929            1.3457718                140.14772                
1250                     3.395365171763632        3126710                  798.7485549655594        222                      1320.7588198223177       32                       0.01436194552092993      305391                   -2.2769272506186815      1524709                  -0.15464547              16.966043                2.1649523e-05            1.3674645                260.19067                
1300                     3.5274855687883164       3248807                  936.5296846191786        190                      1163.7747864430107       32                       0.01304875643907395      317321                   -2.3398113419524336      1584258                  -0.90410674              16.100407                3.870244e-05             1.3726354                288.20416                
1350                     3.658400615983539        3371324                  803.5935094446801        216                      1272.8499000026047       32                       0.01457572390890529      329288                   -2.286366292875107       1643998                  -0.41485417              17.056679                0.00010427241            1.3659393                239.21634                
1400                     3.789976267947091        3493767                  822.6154809758079        214                      1464.0221950236187       32                       0.015094800428910688     341250                   -2.2843314746378462      1703702                  -0.20292367              17.16526                 9.071491e-05             1.3488883                285.72064                
1450                     3.918248207502895        3612460                  846.0393622516989        212                      1345.2224315559438       32                       0.01542436009022727      352848                   -2.3076106284981344      1761577                  -0.03419441              17.687296                8.456317e-05             1.3900487                1391.763                 
1500                     4.0490591491593255       3734368                  827.0437105462778        228                      1435.6584554152778       32                       0.015278406018252977     364757                   -2.321586128715035       1821019                  0.34626046               17.601694                0.00014297765            1.3603109                165.06651                
1550                     4.1818968745734955       3856739                  1012.9175673511048       191                      1577.9487730976664       32                       0.014519059486936724     376710                   -2.2911296041966858      1880702                  0.20660998               16.987745                8.126957e-05             1.3540179                267.93182                
1600                     4.313897306587961        3978432                  926.4986326125334        193                      1812.6203639588355       32                       0.013700478835124166     388600                   -2.323942968450441       1940050                  -0.27798602              16.566486                6.9748756e-05            1.3583933                196.56319                
1650                     4.449336871571011        4103117                  957.9538407163988        211                      2062.0390659396126       32                       0.017476213030419494     400779                   -2.272394178626205       2000851                  -0.5532562               18.565538                8.297464e-05             1.3341632                259.9859                 
1700                     4.584743093583319        4227442                  1078.1361016157798       188                      1488.9802202252126       32                       0.014756139119466145     412924                   -2.2846102364598777      2061489                  0.39009815               17.005201                5.780445e-05             1.438182                 3536.3074                
1750                     4.717396311693721        4351367                  875.7706806418919        225                      1622.6053107802093       32                       0.01867341627025236      425030                   -2.2566675841578183      2121914                  -0.44979778              19.30345                 0.00019913126            1.3423471                163.47034                
1800                     4.851046602328618        4475476                  960.7796399641858        214                      1212.5398800786652       32                       0.018065045619833058     437153                   -2.3032728770527227      2182431                  0.24858506               19.121729                0.00018176033            1.3789887                772.9049                 
1850                     4.982099041806327        4598655                  997.0143933277897        212                      1469.3479962157894       32                       0.01752510845151722      449188                   -2.2476315433031893      2242492                  -0.1502269               18.571539                7.182042e-05             1.3349661                323.75662                
1900                     5.118066069285075        4724640                  977.4553359224416        237                      1606.565023653793        32                       0.02204892806363005      461495                   -2.2733147073779585      2303915                  0.38546723               20.519775                0.00017863192            1.5013015                3712.8706                
1950                     5.251033998992708        4848187                  1069.4099265112654       210                      1686.4120871301077       32                       0.018946387169119543     473559                   -2.2348882550705467      2364160                  0.60109866               18.938198                3.4618017e-05            1.6138122                14026.533                
2000                     5.3864801172415415       4974968                  1150.2255383379943       207                      2271.415621515874        32                       0.021624192669617        485939                   -2.2928351407027363      2425986                  -0.06839109              20.470337                9.3709365e-05            1.3879546                811.5759                 
