Iteration                Wall_Time                Samples                  Train_Return             Train_Paths              Test_Return              Test_Paths               Critic_Loss              Critic_Steps             Actor_Loss               Actor_Steps              Adv_Mean                 Adv_Std                  Adv_Weights_Min          Adv_Weights_Mean         Adv_Weights_Max          
0                        0.0010988301701015896    3003                     817.9018250848491        3                        995.9084486574538        32                       0.009781297970143602     293                      -2.5374121760345565      1465                     7.844164                 9.52998                  0.023194913              1.6328138                30.546606                
50                       0.10131180743376414      151652                   882.6652792841367        150                      1085.6249816573206       32                       0.0008056065633435299    14798                    -2.577808867054181       73984                    0.118423365              4.057165                 1.0187422e-10            1.541376                 78.60316                 
100                      0.1964144120613734       289107                   914.9960099470175        153                      1362.3396520175666       32                       0.0027914402576593254    28218                    -2.308741835297131       141043                   0.08407062               7.436879                 1.6097775e-06            1.3694214                28.57341                 
150                      0.28671859708097247      420856                   845.3731337768038        174                      1174.808044475362        32                       0.0052642000413185095    41090                    -2.257422476578542       205308                   -0.107264906             10.223808                3.421562e-05             1.3430043                52.011005                
200                      0.3718426956733068       545181                   729.5059268028399        203                      1662.1235508322495       32                       0.006740478106907435     53235                    -2.3011287115757764      265939                   0.12373854               11.646193                5.3136646e-05            1.4196867                402.13776                
250                      0.45796883675787187      669245                   821.9490071256204        180                      1360.8483902154228       32                       0.006612184571056831     65356                    -2.324980604856272       326453                   -0.05616818              11.4715605               2.9116201e-05            1.4411914                587.13293                
300                      0.5420368914471733       790763                   743.3133901162902        195                      1495.35580381264         32                       0.008046216074130879     77228                    -2.358001613914038       385721                   0.17283928               12.719256                9.0595255e-05            1.5380529                3630.7761                
350                      0.6277891690201229       914811                   702.4732360079574        211                      1325.7946857898046       32                       0.009302170126588195     89344                    -2.3645766656271885      446212                   -0.090547845             13.505216                0.00015887442            1.4089113                764.69257                
400                      0.7109031281206343       1035476                  701.7316632904415        204                      1532.0903455386028       32                       0.008958303216677992     101131                   -2.3145629700345665      505049                   0.036815293              13.287097                0.00014204814            1.4188354                2169.8496                
450                      0.7960750943422318       1158989                  715.453222737981         205                      1412.7172326335506       32                       0.008878681769219389     113195                   -2.332794383557862       565287                   0.23157986               13.22658                 6.36222e-05              1.4303772                843.4995                 
500                      0.8833594402339724       1286003                  694.2900552058406        223                      1298.6516809944765       32                       0.010996546385423193     125599                   -2.344874295321378       627221                   -0.2501036               14.857636                0.00015417342            1.4591839                4733.348                 
550                      0.9667870188421673       1407314                  615.7235959375469        222                      1389.0527498416857       32                       0.010338681659618007     137446                   -2.418527937460309       686366                   -0.100057125             14.4691                  0.00027326733            2.1095283                32733.223                
600                      1.0544089594814512       1534261                  649.4922504058964        241                      1560.3241888353282       32                       0.012917104276638586     149845                   -2.386806079053972       748254                   0.19586222               16.178366                0.0004447537             1.6706709                11019.185                
650                      1.1386135228474934       1655991                  685.5008713195765        205                      1294.292442872923        32                       0.009626441768237523     161735                   -2.3976305280412946      807615                   0.098998345              13.897866                7.830285e-05             1.4021915                364.7906                 
700                      1.2225811464918985       1778174                  685.6685600218118        219                      1437.756563170597        32                       0.011346707810888756     173669                   -2.3847936243444057      867196                   -0.033743758             14.926869                0.00020401942            1.3933746                224.83229                
750                      1.3069414213630888       1901374                  745.5322794216845        213                      1583.8315825975453       32                       0.010586778458474846     185700                   -2.3784774624040104      927273                   -0.10614168              14.628994                4.472306e-05             1.4143623                643.4425                 
800                      1.3911586625708474       2022420                  768.3396202746574        201                      1367.1800984855226       32                       0.010292244645265432     197522                   -2.3556370822534958      986307                   0.07472062               14.355718                7.4085685e-05            1.4147538                1029.1448                
850                      1.4770849119954639       2148093                  813.1335311359315        199                      1534.6382664418716       32                       0.01202665540907118      209800                   -2.3758131493009134      1047596                  -0.29079625              15.309573                0.00015295132            1.408737                 951.2157                 
900                      1.5634328854084014       2274001                  871.3187326711029        189                      1620.463898915752        32                       0.0109699570855429       222103                   -2.309656386264535       1109006                  0.03548353               14.621132                3.8915514e-05            1.3892754                1600.8387                
950                      1.6477083902888827       2396673                  760.6334361263787        223                      1514.275218004249        32                       0.013043134340218135     234087                   -2.259160618786305       1168818                  -0.06284096              15.937061                0.0001602126             1.3775823                963.56305                
1000                     1.731570156150394        2518462                  865.9838275665868        204                      1565.3470766423975       32                       0.013775032518547533     245985                   -2.319342032053047       1228208                  -0.15234497              16.617168                0.00016118852            1.3865558                354.81323                
1050                     1.8152440283695856       2640255                  905.5999757679674        202                      1476.1339923590874       32                       0.013024772916521345     257889                   -2.329495029797459       1287604                  -0.13190152              16.23377                 8.1926504e-05            1.476592                 3596.5688                
1100                     1.900291500820054        2764799                  932.717776716534         199                      1865.8298800492844       32                       0.014696973716200937     270056                   -2.329584258244926       1348343                  -0.20668185              16.99113                 0.000111590394           1.3588085                152.98636                
1150                     1.9888554794920816       2893622                  955.860220935929         208                      1613.3587196710312       32                       0.012665288668152289     282644                   -2.23671677469615        1411172                  -0.15423344              15.663998                5.051087e-05             1.3361734                422.07025                
1200                     2.0754391289419596       3020164                  935.8918484571398        203                      2039.3801598817774       32                       0.013091444969177246     295004                   -2.277298831132121       1472883                  0.0019905535             15.976913                3.00628e-09              1.3567542                526.2328                 
1250                     2.1634262881676354       3147456                  1001.4769292234014       195                      1932.139423894675        32                       0.012921640838401905     307440                   -2.2798827062749276      1534965                  0.37438008               15.930967                4.675597e-05             1.3958825                2013.911                 
1300                     2.247190661496586        3267686                  1085.1542681430633       183                      1769.2261760199644       32                       0.014403096834818522     319188                   -2.262042247998327       1593608                  -0.53266954              16.779879                5.9192458e-05            1.3944198                1668.436                 
1350                     2.3305810717079374       3388655                  1042.6066448150839       196                      2038.3490678240566       32                       0.016076388338063782     331005                   -2.3528080053969744      1652601                  -0.8547389               17.886995                6.559704e-05             1.3591217                130.12524                
1400                     2.4160374345382056       3512550                  1124.3480445637827       192                      1852.0061584435305       32                       0.014650282156894881     343114                   -2.2549838227585863      1713026                  0.36544824               16.965223                4.0073206e-05            1.3575698                644.1774                 
1450                     2.5020838734176425       3638592                  1145.296092004203        196                      1701.157606297344        32                       0.016372423738105112     355431                   -2.2635954133756866      1774504                  -0.12573844              17.987288                5.0608367e-05            1.3463981                253.02885                
1500                     2.5864888794554606       3762809                  1227.9184303196964       188                      1893.8298086155041       32                       0.015586244224182354     367567                   -2.246226180523524       1835089                  -0.3480154               17.473507                2.846528e-05             1.3805398                1390.4701                
1550                     2.6707115468713973       3884806                  1098.9328227365763       199                      1833.9339017354844       32                       0.016558982358120457     379484                   -2.2790537041490815      1894587                  0.20618492               18.167215                5.387294e-05             1.3668364                538.5053                 
1600                     2.7542194743288886       4007296                  1181.5718986724924       193                      2314.584125008145        32                       0.017040770126742568     391451                   -2.229530274293383       1954324                  0.02468853               18.288395                3.7946884e-05            1.3265127                264.58047                
1650                     2.839167286290063        4129990                  1195.30530405734         192                      2130.844178373447        32                       0.017958326724612658     403436                   -2.2308736018997304      2014165                  -0.28454006              18.910202                6.170075e-05             1.3177971                251.28194                
1700                     2.925368266304334        4255621                  1158.0243052389044       207                      1884.710366421822        32                       0.022355131074494005     415709                   -2.228919967921169       2075432                  -1.4005992               21.128807                0.00015002316            1.3177935                191.96175                
1750                     3.0100953264368906       4379886                  1154.2496417548339       206                      2198.558963124103        32                       0.0214677586674266       427851                   -2.197650442096243       2136030                  0.1400488                20.305567                0.000122014964           1.3199416                199.60854                
1800                     3.0951181901163527       4503801                  1122.4608401422108       220                      2001.403614475602        32                       0.021586292130606515     439955                   -2.186211664504295       2196452                  0.061941512              20.655172                8.35089e-05              1.3072643                193.91386                
1850                     3.1789492524994745       4625470                  1219.343745863598        203                      2122.9703688696654       32                       0.02086661176861457      451841                   -2.233958188055503       2255782                  0.13612625               20.228613                6.122585e-05             1.3159701                124.35373                
1900                     3.2630262972248927       4748486                  1226.5696627388543       205                      2431.2019851097584       32                       0.018260492037420403     463858                   -2.2650056061921298      2315773                  0.67163897               19.28255                 2.2034432e-05            1.4017413                1011.5027                
1950                     3.3484551379415723       4872395                  1419.54927591937         190                      2612.5072517517833       32                       0.025713608102891052     475963                   -2.1803218381414156      2376202                  -0.9006814               22.1725                  7.111893e-05             1.3442391                672.3095                 
2000                     3.435096606347296        4998503                  1457.1322879903016       192                      2711.899094994182        32                       0.020835440766577628     488281                   -2.224790418794187       2437707                  -0.237504                20.298986                1.9451736e-05            1.3799881                1028.3118                
2050                     3.5221798761023417       5124569                  1567.9311851474445       179                      2621.701929493389        32                       0.019805005691593807     500601                   -2.199420659759574       2499202                  0.21131308               19.783636                2.1692158e-05            1.3731141                1257.473                 
2100                     3.608439992732472        5250358                  1628.268869392425        177                      2430.549587223505        32                       0.018677463245749027     512891                   -2.209199394575206       2560559                  0.4550179                19.399977                9.87583e-06              1.6683941                8093.322                 
2150                     3.692764896684223        5372650                  1492.0244886331143       188                      2949.459482162046        32                       0.025439730437669887     524836                   -2.167112120175691       2620205                  -0.36789563              22.40001                 4.645312e-05             1.3065661                222.63216                
2200                     3.7788798920313518       5497431                  1514.971210048863        195                      2311.298677048052        32                       0.02645811842474745      537031                   -2.223616129856264       2681062                  -0.22964248              22.814032                3.8045408e-05            1.357597                 518.1996                 
2250                     3.8660400613149006       5626055                  1403.3356787703203       216                      3137.470475164751        32                       0.03136033012020972      549592                   -2.1990079640763947      2743786                  -0.13878295              24.443544                8.158695e-05             1.3993146                1213.515                 
2300                     3.9526565575599673       5751313                  1726.1827058823544       177                      3056.1247225826946       32                       0.025185824254267044     561831                   -2.258051974456058       2804882                  -0.6037493               22.582449                1.9315203e-05            1.3390869                452.171                  
2350                     4.040142502850957        5877610                  1718.749948027948        182                      3311.8734440140734       32                       0.022720802713323524     574172                   -2.159312628638103       2866483                  0.4062072                21.212364                2.9482503e-06            1.3129361                1425.9503                
2400                     4.126702390776741        6002393                  1758.8009228400308       180                      3207.008023423035        32                       0.025865520597038782     586363                   -2.1856008845267536      2927352                  -0.4610909               22.449768                9.020845e-06             1.2944592                137.1338                 
2450                     4.214374378985829        6129503                  1891.8016991858224       179                      3165.6797311124633       32                       0.025374697314368352     598781                   -2.1510168593169143      2989351                  -0.17841084              22.435469                7.301089e-06             1.4601009                6966.0693                
2500                     4.30167324297958         6256053                  1644.2927164681398       195                      3372.8788680871344       32                       0.030378150939941406     611144                   -2.1811611002882154      3051071                  -0.03202274              25.005957                4.409167e-05             1.3253334                358.24753                
2550                     4.389396449989743        6382807                  1852.4763432026755       179                      3256.841275041866        32                       0.024844261709712604     623527                   -2.1795620738026202      3112899                  0.96853095               22.86614                 2.1889246e-05            1.3362373                1049.4858                
2600                     4.473989795777533        6504927                  1674.7158877875904       191                      3204.215594202502        32                       0.03201269573635525      635456                   -2.188109157986111       3172458                  0.5446156                25.195942                4.2555555e-05            1.2951704                283.63437                
2650                     4.561261726220449        6631539                  1770.5922774400713       194                      3222.090919654783        32                       0.03275760565653886      647827                   -2.197697846126367       3234206                  -0.8844032               24.829588                2.1776186e-05            1.31036                  330.70465                
2700                     4.647965011861589        6757762                  1801.2174119293295       183                      3355.47895625293         32                       0.02751718913221193      660161                   -2.2119050265690468      3295775                  -0.47492403              23.502441                5.9797544e-06            1.3122429                280.1534                 
2750                     4.7337911494572955       6881675                  1918.6638349260347       173                      3556.5937365019468       32                       0.0279065675702925       672263                   -2.1491897530930033      3356216                  0.45594504               23.416698                9.634332e-06             1.5357252                10164.707                
2800                     4.819897013372845        7005048                  1948.727346938215        174                      3692.5791269457427       32                       0.03234830109969429      684320                   -2.1317679808311856      3416392                  0.334039                 25.071074                2.2922763e-05            1.2974883                299.15836                
2850                     4.905903050899505        7128895                  1833.9741984400625       192                      3574.680909035106        32                       0.0344001205874161       696421                   -2.1173598952827697      3476796                  -0.1517508               26.15168                 2.4764222e-05            1.3538915                1000.76044               
2900                     4.993434085051219        7255026                  1809.8448621465195       198                      3290.7866638469914       32                       0.03400866190592448      708744                   -2.1934903043266964      3538313                  0.8968658                25.923018                3.518323e-05             1.373165                 1958.4579                
2950                     5.0784288658036125       7378695                  1694.2303409044157       206                      3153.9304723177947       32                       0.04087035691560204      720825                   -2.1437853053658307      3598617                  -0.04414877              28.420637                7.359514e-05             2.6508698                60795.566                
3000                     5.165717582636409        7505682                  1761.009365883136        208                      3253.1493301307355       32                       0.04380659839424355      733230                   -2.0939067447700372      3660544                  0.6736818                28.672731                7.76398e-05              1.2600453                92.31191                 
3050                     5.25207605348693         7631851                  1828.343420117144        193                      3267.067664857173        32                       0.03752396293874487      745556                   -2.129203884918942       3722081                  0.16253234               26.998196                3.4541707e-05            1.270964                 192.8354                 
3100                     5.338387828204367        7757615                  1788.5341948496853       207                      3261.9832111005635       32                       0.03628461675126423      757841                   -2.096882663777195       3783413                  0.33250958               27.12905                 2.5466785e-05            1.3134568                1580.6252                
3150                     5.424056869546573        7881485                  1748.468035961088        205                      3105.517086608936        32                       0.04286244538453248      769940                   -2.2118553451344938      3843818                  0.24699032               29.511017                5.218478e-05             1.3600588                543.2542                 
3200                     5.509777560962571        8006981                  2011.37412304574         185                      3393.0992906426113       32                       0.03472083836645629      782208                   -2.196863267619018       3905028                  0.40527132               26.19834                 1.1406158e-05            1.3529555                679.67035                
3250                     5.595897135800786        8132176                  1823.1193175562894       201                      3328.2416127185365       32                       0.0410386323928833       794440                   -2.1423048909505207      3966083                  -0.07184099              28.350515                4.3477325e-05            1.2925439                227.57541                
3300                     5.680617617898517        8255426                  1830.526473804422        202                      3729.9860046095027       32                       0.04179579240304453      806482                   -2.1288430046570332      4026188                  0.2468404                28.666998                4.587634e-05             1.3112904                336.91876                
3350                     5.76752900050746         8381495                  1987.6538581121613       185                      3730.9404418922263       32                       0.040256190201873154     818800                   -2.1791373267831338      4087679                  -0.35952482              27.978998                2.7555023e-05            1.3021235                226.4248                 
3400                     5.851705388493008        8502267                  1879.8791106040042       191                      3321.725674881546        32                       0.03487606190923435      830596                   -2.1201322940057383      4146580                  -0.32291993              26.495882                1.8941468e-05            1.2739166                253.83719                
3450                     5.936864209837384        8626593                  1800.286028036437        195                      3726.001452642835        32                       0.03894957666811736      842746                   -2.188389521059783       4207212                  -0.02366007              27.437843                3.1023224e-05            1.3110579                178.66508                
3500                     6.021550620396932        8748601                  1821.4005839833733       199                      3570.169498437483        32                       0.0443937534239234       854665                   -2.083337235124144       4266711                  0.4491288                29.36893                 4.7507172e-05            1.299603                 1405.616                 
3550                     6.106796947187847        8872422                  1923.9432145757462       202                      4039.6585792074684       32                       0.04276514953037478      866757                   -2.1895570980140464      4327096                  0.2235682                28.985497                3.987714e-05             1.5168983                3158.1123                
3600                     6.1940637083186045       8998694                  1987.5373980815928       197                      3795.04860521244         32                       0.04201170690230542      879093                   -2.165846643024744       4388678                  0.35305035               28.477726                4.3289405e-05            1.3734044                651.8423                 
3650                     6.281330967810419        9125198                  2208.491087180518        183                      4056.182174552149        32                       0.046826298582259        891452                   -2.1397510698646496      4450384                  -1.0933481               29.844828                8.704508e-06             1.2744752                115.57398                
3700                     6.36723189122147         9248009                  2020.9215159416208       192                      3795.743897520805        32                       0.036358735198346676     903451                   -2.121873307936262       4510283                  -0.5083136               27.341455                1.3921549e-05            1.6265885                5163.647                 
3750                     6.452875028451284        9371916                  2138.0328936326578       185                      3662.9921042653573       32                       0.04125445539301092      915553                   -2.156236673142532       4570714                  0.042264566              28.998947                2.6635184e-05            1.4078476                1749.1572                
