Iteration                Wall_Time                Samples                  Train_Return             Train_Count              Test_Return              Test_Count               State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Exp_Temp                 Exp_Samples              Critic_Loss              Critic_Stepsize          Critic_Steps             Actor_Loss               Actor_Stepsize           Actor_Steps              Adv_Mean                 Adv_Std                  
50                       0.06282672822475434      150150                   -10.037901753168923      148                      -0.360125258679385       32                       0.0013912173             1.8062264                0                        0                        1.0                      0.4                      10.000000000000002       151000                   0.0007275765             0.01                     8192                     5.274847                 5e-05                    40960                    0.6016914                3.8441157                
100                      0.13034084849887423      300300                   321.53879066740825       150                      2.0084301220115135       32                       0.039445836              1.9278331                0                        0                        1.0                      0.4                      10.000000000000002       301000                   0.0044235694             0.01                     17792                    4.819167                 5e-05                    88960                    0.55923736               9.45655                  
150                      0.1977178211344613       450450                   930.2934780536204        150                      425.28638217575786       32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       451000                   0.0075158044             0.01                     27392                    4.471735                 5e-05                    136960                   0.9645359                12.277588                
200                      0.26526471462514667      600600                   1289.5217941061671       150                      1480.2521844058308       32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       601000                   0.010885656              0.01                     36992                    4.415393                 5e-05                    184960                   0.25883952               14.697284                
250                      0.33281503558158876      750750                   1580.61566521094         150                      2070.925236715199        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       751000                   0.011248969              0.01                     46592                    4.3529644                5e-05                    232960                   0.19234271               14.962633                
300                      0.40030511730247076      900900                   1977.095142008698        150                      2562.858294149087        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       901000                   0.012143343              0.01                     56192                    4.314671                 5e-05                    280960                   0.10991245               15.46758                 
350                      0.46750292307800717      1051050                  2298.790306626871        150                      3006.538538775817        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       1051000                  0.0122097125             0.01                     65792                    4.2994514                5e-05                    328960                   0.16312903               15.66965                 
400                      0.5350512909889221       1201200                  2526.8481339909536       150                      3572.845018697689        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       1201000                  0.011844433              0.01                     75392                    4.328735                 5e-05                    376960                   0.5055891                15.309374                
450                      0.6026961774296231       1351350                  2761.3405190214344       150                      4206.110509532163        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       1351000                  0.011728919              0.01                     84992                    4.313004                 5e-05                    424960                   0.27578005               15.331151                
500                      0.6703421760929955       1501500                  2917.28113840803         150                      4433.736963677957        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       1501000                  0.014081504              0.01                     94592                    4.2961817                5e-05                    472960                   0.616189                 16.467148                
550                      0.7379822885327869       1651650                  3078.388881563972        150                      4749.328356685635        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       1651000                  0.014421888              0.01                     104192                   4.1398315                5e-05                    520960                   0.032837264              16.942024                
600                      0.805413372847769        1801800                  3195.730364951833        150                      4596.087709507755        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       1801000                  0.011929561              0.01                     113792                   4.2844806                5e-05                    568960                   -0.23803692              15.3585005               
650                      0.87283578965399         1951950                  3441.5003552776325       150                      5230.084824900235        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       1951000                  0.01171971               0.01                     123392                   4.2020907                5e-05                    616960                   0.24104671               15.246536                
700                      0.9402826950947444       2102100                  3536.896664153575        150                      5573.338154559588        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       2101000                  0.012661391              0.01                     132992                   4.1611257                5e-05                    664960                   0.19034313               15.841277                
750                      1.007763521472613        2252250                  3621.2413916036985       150                      5698.832402386042        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       2251000                  0.017438913              0.01                     142592                   4.072721                 5e-05                    712960                   -0.64685935              18.719597                
800                      1.0753265163633559       2402400                  3781.2872045331774       150                      6038.921200221115        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       2401000                  0.012240288              0.01                     152192                   4.081776                 5e-05                    760960                   -0.09008845              15.753903                
850                      1.1431172621912427       2552550                  3866.113229398948        150                      6036.355279523007        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       2551000                  0.01814626               0.01                     161792                   4.0007854                5e-05                    808960                   0.16222024               19.076029                
900                      1.2109406438801025       2702700                  3944.6108201772577       150                      6250.63384593779         32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       2701000                  0.017153746              0.01                     171392                   3.9156382                5e-05                    856960                   0.17431176               17.62103                 
950                      1.278756295575036        2852850                  4170.443284413057        150                      6424.977474161713        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       2851000                  0.011595785              0.01                     180992                   4.1611648                5e-05                    904960                   0.5138006                15.05367                 
1000                     1.3466418829229143       3003000                  4350.152173647818        150                      6797.70783976135         32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       3001000                  0.013438766              0.01                     190592                   4.0837297                5e-05                    952960                   0.37909722               16.294292                
1050                     1.414424702194002        3153150                  4465.854167262103        150                      6549.927646586947        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       3151000                  0.013220205              0.01                     200192                   4.1504803                5e-05                    1000960                  -0.3984068               15.89396                 
1100                     1.4818631769551172       3303300                  4581.508338601266        150                      6933.259939131382        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       3301000                  0.015905768              0.01                     209792                   4.027523                 5e-05                    1048960                  -0.25332227              17.456442                
1150                     1.5490891795688206       3453450                  4571.695162755702        150                      6903.685948869297        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       3451000                  0.019087879              0.01                     219392                   4.0269723                5e-05                    1096960                  -0.29805464              19.126871                
1200                     1.616339604722129        3603600                  4494.487297805146        150                      7139.05735539625         32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       3601000                  0.022367949              0.01                     228992                   3.9006336                5e-05                    1144960                  -0.4645994               20.443417                
1250                     1.6835481143660016       3753750                  4662.300545553149        150                      7162.688876633592        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       3751000                  0.01764172               0.01                     238592                   3.9892917                5e-05                    1192960                  0.21719556               19.1646                  
1300                     1.7507235062784618       3903900                  4757.824345846289        150                      7366.906599152378        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       3901000                  0.017776594              0.01                     248192                   4.0602736                5e-05                    1240960                  0.17814913               18.95405                 
1350                     1.8179282231463327       4054050                  4737.633809490515        150                      7233.290838566452        32                       0.039807875              1.9312035                0                        0                        1.0                      0.4                      10.000000000000002       4051000                  0.013890922              0.01                     257792                   4.11754                  5e-05                    1288960                  0.0648023                16.509724                
