Iteration                Wall_Time                Samples                  Train_Return             Train_Count              Test_Return              Test_Count               State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Exp_Temp                 Exp_Samples              Critic_Loss              Critic_Stepsize          Critic_Steps             Actor_Loss               Actor_Stepsize           Actor_Steps              Adv_Mean                 Adv_Std                  Adv_Weights_Min          Adv_Weights_Mean         Adv_Weights_Max          
50                       0.08138926227887472      150150                   182.02545398155192       148                      -0.3694854440453434      32                       0.025709266              1.8990575                0                        0                        1.0                      0.4                      10.000000000000002       151000                   0.003263886              0.01                     14748                    4.796884                 5e-05                    73739                    0.64830303               8.294527                 0.0010643705             1.6427214                345.2128                 
100                      0.16378756907251146      300300                   943.6881766823705        150                      1.3694365243525985       32                       0.051340703              2.1680307                0                        0                        1.0                      0.4                      10.000000000000002       301000                   0.008695697              0.01                     29398                    4.424937                 5e-05                    146989                   1.1866951                13.3531475               0.0017367146             1.497341                 67.326935                
150                      0.24545265972614289      450450                   1459.4150059194258       150                      1878.5688821311085       32                       0.05150549               2.1717992                0                        0                        1.0                      0.4                      10.000000000000002       451000                   0.00969983               0.01                     44048                    4.225025                 5e-05                    220239                   0.21447594               13.942453                7.083389e-05             1.4441462                133.01106                
200                      0.326759214202563        600600                   1793.4219352734146       150                      3018.5677731781016       32                       0.05150549               2.1717992                0                        0                        1.0                      0.4                      10.000000000000002       601000                   0.010835657              0.01                     58698                    4.166519                 5e-05                    293489                   0.35969305               14.732225                3.5549278e-05            1.424166                 160.18765                
250                      0.40808909866544935      750750                   2191.4311828847012       150                      3322.715206974515        32                       0.05150549               2.1717992                0                        0                        1.0                      0.4                      10.000000000000002       751000                   0.009668264              0.01                     73348                    4.206901                 5e-05                    366739                   0.16111559               13.90284                 1.8774565e-06            1.4457661                217.27257                
300                      0.48933098375797274      900900                   2501.7272544535035       150                      3724.1298234490846       32                       0.05150549               2.1717992                0                        0                        1.0                      0.4                      10.000000000000002       901000                   0.009544898              0.01                     87998                    4.0768037                5e-05                    439989                   -0.31647742              13.778943                1.70792e-06              1.4147857                99.608955                
350                      0.5705798297458224       1051050                  2628.9517503878587       150                      3999.716194565303        32                       0.05150549               2.1717992                0                        0                        1.0                      0.4                      10.000000000000002       1051000                  0.009185259              0.01                     102648                   4.107397                 5e-05                    513239                   0.65584564               13.465941                4.552004e-06             1.4442333                263.0325                 
400                      0.6518461441993714       1201200                  2851.1955093610604       150                      4180.218873289788        32                       0.05150549               2.1717992                0                        0                        1.0                      0.4                      10.000000000000002       1201000                  0.008459106              0.01                     117298                   4.0704827                5e-05                    586489                   -0.02165087              12.933818                2.7483873e-07            1.4350264                216.88647                
450                      0.7331152478853862       1351350                  2961.860763622431        150                      4320.74966064205         32                       0.05150549               2.1717992                0                        0                        1.0                      0.4                      10.000000000000002       1351000                  0.0072500794             0.01                     131948                   4.1238146                5e-05                    659739                   0.35114795               12.249077                1.058475e-08             1.4401236                159.68126                
500                      0.8143792576922311       1501500                  3153.4033588856605       150                      4399.127828484691        32                       0.05150549               2.1717992                0                        0                        1.0                      0.4                      10.000000000000002       1501000                  0.0071089235             0.01                     146598                   4.1274533                5e-05                    732989                   0.17087016               11.876898                7.172708e-08             1.5493402                2220.5288                
550                      0.8956661562124888       1651650                  3236.138953545672        150                      4522.494505315006        32                       0.05150549               2.1717992                0                        0                        1.0                      0.4                      10.000000000000002       1651000                  0.0070471307             0.01                     161248                   4.1676664                5e-05                    806239                   -0.10446856              11.888907                0.00011985702            1.4626626                103.41165                
600                      0.9769144198629591       1801800                  3346.6310008488913       150                      4619.886973112154        32                       0.05150549               2.1717992                0                        0                        1.0                      0.4                      10.000000000000002       1801000                  0.0063477517             0.01                     175898                   4.116362                 5e-05                    879489                   0.21211872               11.18822                 8.754566e-10             1.4429215                450.60104                
650                      1.0581691136625078       1951950                  3416.1062099234605       150                      4737.098399142534        32                       0.05150549               2.1717992                0                        0                        1.0                      0.4                      10.000000000000002       1951000                  0.006993398              0.01                     190548                   4.0906496                5e-05                    952739                   0.19716257               11.862591                2.0070846e-07            1.4362028                135.58992                
700                      1.1394405404726664       2102100                  3476.841079368981        150                      4806.059978391845        32                       0.05150549               2.1717992                0                        0                        1.0                      0.4                      10.000000000000002       2101000                  0.0068375617             0.01                     205198                   4.106887                 5e-05                    1025989                  0.13863578               11.771542                3.5210967e-10            1.4421244                302.59064                
