Iteration                Wall_Time                Samples                  Train_Return             Train_Paths              Test_Return              Test_Paths               Critic_Loss              Critic_Steps             Actor_Loss               Actor_Steps              Adv_Mean                 Adv_Std                  Adv_Weights_Min          Adv_Weights_Mean         Adv_Weights_Max          
0                        0.0009203455183241102    3003                     -201.0461969191739       3                        -0.47151902881579194     32                       0.006057524436976722     293                      5.003759932273891        1465                     -0.5164035               7.348325                 0.023791188              1.6710747                44.337963                
50                       0.12650284535355039      153153                   -10.398482820319726      150                      792.9879395929853        32                       0.00021380178452351802   14943                    4.868430034129693        74715                    0.2739356                2.0693712                0.00021290344            2.2696218                781.8516                 
100                      0.25327673925293814      303303                   345.60446914961756       150                      1964.4909271907718       32                       0.002653736710141543     29593                    4.734890611668089        147965                   1.7085272                7.337988                 0.0005922428             1.6281866                92.5009                  
150                      0.38159407324261135      453453                   1222.894085402854        150                      2995.650310513818        32                       0.00390718089028837      44243                    4.462941952858362        221215                   1.2026455                8.835349                 0.0003589369             1.5366671                29.00528                 
200                      0.507875278128518        603603                   1769.7907343558584       150                      3500.8265276151287       32                       0.006577064966585856     58893                    4.232255226109215        294465                   0.82249236               11.489761                8.571858e-05             1.4704226                148.85982                
250                      0.6336724723047681       753753                   2139.3852851830666       150                      3789.474739344195        32                       0.006800966864966695     73543                    4.279516184940273        367715                   0.37037796               11.763117                3.06558e-05              1.4691856                78.68712                 
300                      0.7586474978261524       903903                   2334.4589450373337       150                      3981.450364969064        32                       0.008185452568653094     88193                    4.2749953338310585       440965                   0.78968847               12.633324                8.93889e-06              1.4712242                102.19342                
350                      0.8834511865509881       1054053                  2439.3847789921897       150                      4244.69707690197         32                       0.009442339171321725     102843                   4.153296648357508        514215                   0.5402087                13.510875                3.1861896e-06            1.4883785                725.09436                
400                      1.0082624130778843       1204203                  2706.653562594724        150                      4236.915456378336        32                       0.00941186146524579      117493                   4.124093096736348        587465                   0.2347155                13.658268                5.7879e-06               1.4585932                573.22174                
450                      1.1330908730294968       1354353                  2929.9900739230275       150                      4592.268946717305        32                       0.010623407038405487     132143                   4.0676397850895905       660715                   0.6129494                14.515318                7.6288194e-07            9.196023                 301517.66                
500                      1.2578068740500343       1504503                  3152.3724107794856       150                      4922.344286361088        32                       0.00822835570716207      146793                   4.2425151317192835       733965                   -0.6239048               12.803557                0.0008500554             1.4601041                37.66633                 
550                      1.3821040880680084       1654653                  3236.9715993158047       150                      5137.075504251096        32                       0.009806384812442923     161443                   4.1546855002133105       807215                   0.0675917                13.644013                8.913768e-06             1.52211                  3958.4412                
600                      1.5061152889331182       1804803                  3330.41661518124         150                      5318.424455909359        32                       0.013819873536406117     176093                   3.978045008532423        880465                   0.24444453               16.133818                4.1233413e-08            1.4387892                842.7694                 
650                      1.63068011575275         1954953                  3557.7551393501135       150                      5527.802424787235        32                       0.012149766850390126     190743                   4.023377173101536        953715                   0.43738946               15.423638                1.5525204e-07            2.9624817                65676.72                 
700                      1.755342723329862        2105103                  3764.401505940756        150                      5759.524588110003        32                       0.009931946777239594     205393                   4.037161369453925        1026965                  -0.011337936             14.194399                5.3115157e-09            1.3993533                531.0735                 
