Iteration                Wall_Time                Samples                  Train_Return             Train_Paths              Test_Return              Test_Paths               Critic_Loss              Critic_Steps             Actor_Loss               Actor_Steps              Adv_Mean                 Adv_Std                  Adv_Weights_Min          Adv_Weights_Mean         Adv_Weights_Max          
0                        0.0005900420745213827    3003                     -153.1860492064516       3                        -0.5518206993766909      32                       0.008416033442109925     293                      4.808095803114335        1465                     -5.775469                7.8348403                0.013152012              1.6444069                53.066757                
50                       0.07489228778415256      153153                   136.62273501991604       150                      734.9689895534696        32                       0.0015503510883643765    14943                    4.979459524317406        74715                    0.5920079                5.695999                 0.0006183238             1.7754936                167.43433                
100                      0.15002225001653036      303303                   811.6218209183158        150                      2481.7404371847806       32                       0.005975301355225234     29593                    4.48634512318686         147965                   1.0816672                10.8748045               0.0006200241             1.5287846                83.06503                 
150                      0.22469240685304007      453453                   1294.1857510322045       150                      2974.53143946205         32                       0.007277588795476399     44243                    4.198695139185154        221215                   0.47287464               12.079436                2.050993e-05             1.4611137                333.13696                
200                      0.29978393839465245      603603                   1879.2417553405005       150                      3352.1452812536195       32                       0.007659689151386352     58893                    4.251745813779864        294465                   0.5720369                12.293394                4.583407e-06             1.4705563                118.591896               
250                      0.3747186306450102       753753                   2211.923742780851        150                      3567.094932008935        32                       0.007984543009422746     73543                    4.206930260772184        367715                   0.8087275                12.603132                1.1393057e-07            1.4441967                123.76931                
300                      0.44945559091038173      903903                   2416.1375629888244       150                      3964.9997563112543       32                       0.009381611599450225     88193                    4.165062726642492        440965                   0.81304765               13.638583                1.4994348e-06            1.4607692                843.7827                 
350                      0.5241586699088414       1054053                  2559.5085178941094       150                      4015.734345848182        32                       0.00924660402760164      102843                   4.154410196245734        514215                   0.35754037               13.454316                4.1304415e-06            1.4418498                192.5032                 
400                      0.598862052957217        1204203                  2726.8312306289176       150                      4044.676049765431        32                       0.01058247797318286      117493                   4.098910449552048        587465                   -0.049119897             14.542129                5.970796e-08             1.5542557                3407.073                 
450                      0.6734361452526516       1354353                  2871.083060095129        150                      4310.881042793622        32                       0.010560288771020674     132143                   4.094069632572525        660715                   -0.18159059              14.563957                2.9538196e-08            1.4368569                422.4524                 
500                      0.7481554738680521       1504503                  3038.009142708077        150                      4422.536252665081        32                       0.010236491929142142     146793                   4.102367414142491        733965                   -0.19270502              14.147868                5.427906e-07             1.4326284                254.28276                
550                      0.8225966642300288       1654653                  3119.5224611498957       150                      4842.111265379988        32                       0.010347900943951395     161443                   4.123964443792662        807215                   -0.18004887              14.525251                4.364299e-07             1.4487137                545.47723                
600                      0.8971015247371462       1804803                  3188.3036395311838       150                      4835.862458127395        32                       0.012383950041422665     176093                   4.143325045328498        880465                   0.121947095              15.484934                7.6678054e-07            1.4330418                138.05351                
650                      0.9718264030747944       1954953                  3272.010430149664        150                      5248.38397727568         32                       0.01070236590128303      190743                   4.107029916808874        953715                   0.6216485                14.956689                1.3810786e-07            1.5494343                4735.89                  
700                      1.046510735352834        2105103                  3437.9306851723213       150                      5013.546279425443        32                       0.0108284551535857       205393                   4.1108231788609215       1026965                  -0.22222313              14.841943                2.910225e-06             1.4450177                266.40067                
750                      1.1207691572772132       2255253                  3490.5282706544217       150                      5090.3064592565515       32                       0.013519426254689083     220043                   4.017836430780717        1100215                  0.653835                 16.281176                6.735257e-08             1.4360849                596.14465                
800                      1.1954681903786128       2405403                  3589.6803453784187       150                      4559.265387092097        32                       0.016550900586229135     234693                   3.951207537862628        1173465                  1.0497683                18.422935                3.3698262e-07            1.4211414                1484.0835                
850                      1.2697727019257015       2555553                  3670.6319920555943       150                      5504.89175059691         32                       0.013003039278674858     249343                   4.098712137372013        1246715                  -0.37870535              15.844896                1.4511158e-07            1.4123594                167.91565                
900                      1.3440626176198323       2705703                  3847.5442027332174       150                      5557.96353369911         32                       0.011854671374115928     263993                   4.077571059087031        1319965                  0.31587163               15.272452                3.069002e-07             1.4093598                91.73117                 
950                      1.418350607222981        2855853                  3900.859876278887        150                      5254.944598099719        32                       0.012774910129377866     278643                   4.120003532956485        1393215                  0.500665                 16.019981                8.584624e-08             1.4211702                188.50864                
1000                     1.4926291512780718       3006003                  3966.780175392769        150                      5436.860783890651        32                       0.013141680902995348     293293                   4.049163089270478        1466465                  0.27299023               16.04776                 6.6771764e-07            1.410141                 171.26144                
1050                     1.5668846145603392       3156153                  4105.734438752605        150                      6335.918782445113        32                       0.013087935822001903     307943                   3.9373050207977816       1539715                  0.3593119                16.510136                4.3047534e-09            1.4699419                854.44574                
1100                     1.6412074279785156       3306303                  4139.342897186468        150                      6512.543875180627        32                       0.01792576369978869      322593                   3.9543075405290105       1612965                  0.02236055               18.97154                 5.3269423e-07            1.5334017                2054.9954                
1150                     1.715457311934895        3456453                  4183.453255782776        150                      6498.465816271578        32                       0.021704275046599195     337243                   3.9059976935793514       1686215                  -0.7846061               20.632671                2.6958736e-07            1.3688676                194.04901                
1200                     1.7896746864583757       3606603                  4363.88705151061         150                      6780.730443489087        32                       0.01309637323581318      351893                   4.115989294475256        1759465                  0.19524378               15.947992                8.09925e-05              1.4224024                28.779972                
1250                     1.8639089241292741       3756753                  4523.08265402164         150                      6693.460889088199        32                       0.018026775060660197     366543                   3.964252146437713        1832715                  -0.6030581               19.304457                1.2582122e-07            1.5854944                3828.367                 
1300                     1.9385276760657628       3906903                  4594.36406909781         150                      6367.283621135571        32                       0.019958642562501665     381193                   3.9930100789249146       1905965                  0.8144186                20.053942                8.133884e-08             1.3991268                318.64594                
1350                     2.013546828097767        4057053                  4696.269941835932        150                      7070.650679626283        32                       0.013896751729294709     395843                   4.15579571512372         1979215                  0.2581047                16.432674                5.906947e-05             1.4313917                43.10989                 
1400                     2.0887316442860495       4207203                  4723.913579478932        150                      7403.118731324933        32                       0.019369680320036695     410493                   3.9705874706697952       2052465                  -1.4928309               19.69957                 2.4554567e-09            1.4673958                904.9696                 
1450                     2.163688507344988        4357353                  4769.989839749809        150                      7154.149967229057        32                       0.019206984458116135     425143                   3.9863837857295223       2125715                  -0.18005022              19.828312                3.0994505e-09            1.4023956                741.2726                 
1500                     2.23856414284971         4507503                  4854.243749620345        150                      7516.816862809311        32                       0.01933596809569479      439793                   4.040284702965017        2198965                  0.23638122               19.612297                3.3524685e-09            1.4159353                765.393                  
1550                     2.313453271852599        4657653                  4833.290961544792        150                      7527.884479664294        32                       0.017159037215717824     454443                   4.052223429500853        2272215                  0.20754333               18.586206                1.5396499e-07            1.404721                 140.80276                
1600                     2.3883577626281314       4807803                  4975.070689727195        150                      7034.324060494883        32                       0.018720382716468576     469093                   4.087279690166382        2345465                  0.7243838                19.35224                 2.4043441e-08            1.4342076                188.03822                
1650                     2.463461300333341        4957953                  5048.9151024033645       150                      7547.409227394185        32                       0.017121285708691075     483743                   4.048823125533277        2418715                  0.30913812               18.248665                2.5636371e-08            1.4070226                104.02417                
1700                     2.5386026833454767       5108103                  5082.030346047595        150                      7641.818642247653        32                       0.01965738075178231      498393                   4.012215030396757        2491965                  0.097583584              19.886549                1.14718404e-07           1.3861403                35.068905                
1750                     2.613918201327324        5258253                  5191.486844767785        150                      7607.750150512743        32                       0.020634784633389105     513043                   3.9808320445819114       2565215                  -0.1845514               20.178015                3.798113e-09             1.3838763                53.398136                
1800                     2.6890516162580913       5408403                  5192.554170924899        150                      7823.4393298258765       32                       0.02131078186295545      527693                   4.036812073378839        2638465                  -0.82087725              20.482271                1.432426e-07             1.396603                 67.14073                 
1850                     2.7640535432100295       5558553                  5231.640571300788        150                      7204.756616860537        32                       0.019428121351951624     542343                   4.091514905076791        2711715                  -0.5868719               19.880972                0.00013653057            1.4086231                74.10711                 
1900                     2.8389629814359876       5708703                  5185.122973239674        150                      7267.180141072103        32                       0.027647389486788077     556993                   3.9989781090017065       2784965                  -0.17583516              23.481703                7.0553186e-10            1.3709053                699.94354                
1950                     2.9138910824722712       5858853                  5254.531965575155        150                      7953.792347906647        32                       0.01808965409575062      571643                   3.9805270771117747       2858215                  0.92738575               19.152672                4.5644055e-10            1.3893689                320.43564                
2000                     2.988822345270051        6009003                  5333.565410865136        150                      7069.388218672514        32                       0.018527021180240775     586293                   3.9970636465443685       2931465                  -0.22533941              19.421328                3.0115228e-07            1.3898227                287.6432                 
2050                     3.0638079124689104       6159153                  5378.958564671043        150                      7396.061551279599        32                       0.026915882227770704     600943                   3.8800747920221843       3004715                  -0.2420206               23.665903                5.4542937e-12            1.6365478                9789.27                  
2100                     3.138776628242599        6309303                  5215.7181026640665       150                      8259.755101480558        32                       0.02148363614651937      615593                   4.014099829351536        3077965                  0.54108095               20.535122                5.251357e-09             1.4192362                569.4507                 
2150                     3.2136473751068113       6459453                  5426.095937433314        150                      8025.288768974047        32                       0.01822693925668762      630243                   4.066323258852389        3151215                  0.3832675                19.140106                8.04428e-05              1.4256351                266.8557                 
2200                     3.288482952846421        6609603                  5401.937983374757        150                      8349.922279416953        32                       0.022228087988322914     644893                   3.9850435953498295       3224465                  0.5352227                20.558693                8.76707e-09              1.3899646                104.42404                
2250                     3.363406820628378        6759753                  5430.010948061215        150                      8288.015410660488        32                       0.020779510406910763     659543                   4.034068032743174        3297715                  0.7156776                20.514704                2.7105617e-08            1.3903586                46.040794                
2300                     3.43828659719891         6909903                  5546.855999902811        150                      8416.882175648087        32                       0.02386451825346963      674193                   3.923894784556314        3370965                  0.5719115                21.651096                5.1862953e-10            1.4314497                1190.9274                
2350                     3.513120921783977        7060053                  5483.678550197833        150                      8286.401536067344        32                       0.02551506973370757      688843                   3.9544498586817407       3444215                  0.3995666                22.17044                 1.6880661e-09            1.6128384                8097.491                 
2400                     3.587992407679558        7210203                  5569.636132993459        150                      8294.227721525112        32                       0.025343419748768466     703493                   3.965734988267918        3517465                  0.09234371               22.51467                 1.8969459e-08            1.5275177                3327.9705                
2450                     3.662847618791792        7360353                  5467.233491537645        150                      7792.437637824368        32                       0.026288909716817705     718143                   3.953657276557167        3590715                  -0.5895542               22.531136                1.2014837e-08            1.426248                 294.11557                
2500                     3.737693427072631        7510503                  5491.418656623548        150                      8078.910953215975        32                       0.022869181714367134     732793                   3.9638815193046075       3663965                  -0.16461354              21.189596                3.8777026e-09            1.3693262                32.9372                  
2550                     3.8125478467014102       7660653                  5542.329139905458        150                      8301.355620204753        32                       0.025259720994343936     747443                   3.9211320792448805       3737215                  0.5795692                22.307148                8.445303e-10             1.4022114                996.9397                 
2600                     3.8874144721693464       7810803                  5536.486508630489        150                      7949.728088330825        32                       0.025763955946261564     762093                   3.883742734108362        3810465                  1.0303588                22.590397                1.6995067e-08            1.3605955                579.5071                 
2650                     3.962296622660425        7960953                  5628.027167741804        150                      7293.219322234104        32                       0.02022851774716947      776743                   4.005337763971843        3883715                  0.3786583                20.033607                2.284388e-10             1.425101                 1950.8468                
2700                     4.03717778523763         8111103                  5520.254746171112        150                      8554.934216368163        32                       0.024388790130615234     791393                   3.9648780796715015       3956965                  -0.6110331               22.505478                1.8759574e-09            1.434131                 2137.117                 
2750                     4.112066767215729        8261253                  5613.73916367438         150                      8352.780445665372        32                       0.020936144089942908     806043                   3.9586140811646757       4030215                  0.18366054               20.32183                 1.2058705e-09            2.9377692                56990.816                
2800                     4.186910737421777        8411403                  5741.1670166205695       150                      8126.069883200462        32                       0.01999205533961794      820693                   3.954329204884812        4103465                  -0.32240903              20.218288                3.1751764e-11            1.3803471                232.37343                
2850                     4.261731266644266        8561553                  5753.2710223733275       150                      8654.250510286327        32                       0.017318351276905463     835343                   4.095160182913823        4176715                  0.62400424               18.601715                0.00010465587            1.42985                  254.7816                 
2900                     4.336575491958194        8711703                  5781.768439882977        150                      8772.267463053315        32                       0.02040717056586881      849993                   4.015084057700512        4249965                  -0.35852483              19.713587                1.112928e-08             1.4208151                727.3033                 
2950                     4.411440359354019        8861853                  5849.658924106989        150                      8483.969902000896        32                       0.020850225520215343     864643                   4.023082537862628        4323215                  -0.15263467              20.457548                1.9007198e-08            1.4001968                82.13332                 
3000                     4.486316322750516        9012003                  5854.498829127394        150                      8588.118296586768        32                       0.02181291742943253      879293                   4.075321299061433        4396465                  -0.039373595             20.67519                 0.00016471636            1.4082819                37.1033                  
3050                     4.561171884934107        9162153                  5888.456261812408        150                      8765.10950397763         32                       0.023595289158739735     893943                   4.010564206484641        4469715                  -0.37185597              21.777729                0.000112505404           1.3966529                72.782814                
3100                     4.636030475497246        9312303                  5857.076925100774        150                      8515.988186346536        32                       0.021603292979478023     908593                   4.0480628732935156       4542965                  -1.1407924               20.994888                0.00021105752            1.4229958                149.83716                
3150                     4.71093146012889         9462453                  5875.221726356569        150                      8795.602739505168        32                       0.027003047409318005     923243                   3.9549071432380547       4616215                  0.3228343                22.476162                2.6027323e-08            1.4198561                1065.7603                
3200                     4.785808355145984        9612603                  5771.296377403971        150                      8494.97639212122         32                       0.021149099890282536     937893                   3.9916958857721845       4689465                  0.32132864               20.50743                 2.2875871e-11            1.3736923                70.38953                 
3250                     4.860692944659127        9762753                  5787.642525152957        150                      8930.943227252117        32                       0.02708736458736068      952543                   3.9443232721843002       4762715                  -0.8522518               23.479956                4.6716426e-09            1.5913633                6250.6416                
3300                     4.935563873648643        9912903                  5905.802590387047        150                      8825.276068560805        32                       0.020178804625423288     967193                   4.036352122440273        4835965                  -0.107010655             20.12104                 0.00014171921            1.4330033                292.98346                
3350                     5.010430797338485        10063053                 5820.147089192212        150                      9100.700574509357        32                       0.026360931656873268     981843                   3.9710700858575083       4909215                  -0.24278396              22.549164                5.6578546e-09            1.39805                  267.68167                
3400                     5.08527979850769         10213203                 5929.729952516808        150                      8913.70306271002         32                       0.02214999084993434      996493                   3.979265878306314        4982465                  0.2726937                21.407814                3.8948425e-08            1.4297444                434.50888                
3450                     5.160136877563264        10363353                 5973.994635252452        150                      8941.426732292897        32                       0.02335096626151544      1011143                  3.9236371453711603       5055715                  0.9740507                21.614084                4.5523425e-08            1.4015104                471.08875                
