Iteration                Wall_Time                Samples                  Train_Return             Train_Count              Test_Return              Test_Count               State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Exp_Temp                 Exp_Samples              Critic_Loss              Critic_Stepsize          Critic_Steps             Actor_Loss               Actor_Stepsize           Actor_Steps              Adv_Mean                 Adv_Std                  Adv_Weights_Min          Adv_Weights_Mean         Adv_Weights_Max          
50                       0.08093310157457988      106069                   189.7323418247273        1041                     139.56519170535037       32                       0.031055523              0.71097016               0                        0                        1.0                      0.4                      10.000000000000002       105071                   0.0005866683             0.01                     10284                    2.460305                 2.5e-05                  102630                   0.4945026                6.804961                 2.9466156e-07            1.6698599                182.294                  
100                      0.16484354303942786      213085                   352.65206129511137       743                      312.20574237527205       32                       0.009239644              0.86739254               0                        0                        1.0                      0.4                      10.000000000000002       211390                   0.00059144036            0.01                     20695                    2.0641315                2.5e-05                  206479                   0.26721627               6.8905005                2.0896176e-10            1.3854344                69.07028                 
150                      0.2498838151163525       321669                   423.4414347351377        694                      443.45896285269663       32                       0.01287152               0.95533746               0                        0                        1.0                      0.4                      10.000000000000002       319265                   0.0003252836             0.01                     31255                    2.2784288                2.5e-05                  311846                   0.2618994                5.20937                  2.830252e-14             3.0455258                11004.744                
200                      0.335093546907107        430200                   572.3479026774228        557                      507.78153830882115       32                       0.01287152               0.95533746               0                        0                        1.0                      0.4                      10.000000000000002       427315                   0.0022433628             0.01                     41831                    2.4763222                2.5e-05                  417387                   0.49901578               13.314205                7.4079605e-07            2.2677221                3373.48                  
250                      0.42321892162164054      541308                   936.1415355172655        362                      1091.8435769105158       32                       0.01287152               0.95533746               0                        0                        1.0                      0.4                      10.000000000000002       538421                   0.00068188226            0.01                     52710                    2.3795407                2.5e-05                  525916                   0.21485181               7.3067055                8.782106e-11             1.6779575                903.28955                
300                      0.5235943994919459       663230                   1847.1806488659436       207                      2846.47066138898         32                       0.01287152               0.95533746               0                        0                        1.0                      0.4                      10.000000000000002       660551                   0.00048120363            0.01                     64661                    2.5493915                2.5e-05                  645211                   0.27054137               6.239107                 2.360021e-05             1.8647155                1011.38885               
350                      0.6212785909573237       782574                   1617.9132940203751       243                      3148.714087439986        32                       0.01287152               0.95533746               0                        0                        1.0                      0.4                      10.000000000000002       779004                   0.00043953818            0.01                     76255                    2.4455428                2.5e-05                  760913                   0.14016388               5.911855                 5.282835e-06             1.8009536                650.78076                
400                      0.7171983497010337       898960                   1554.9406150272753       257                      3204.3073687569          32                       0.01287152               0.95533746               0                        0                        1.0                      0.4                      10.000000000000002       895640                   0.0003603222             0.01                     87671                    2.5087264                2.5e-05                  874841                   -0.13194099              5.3288927                1.2575752e-05            3.064693                 38657.28                 
450                      0.8114848121669558       1013012                  1570.4545481830457       250                      3351.0007631578765       32                       0.01287152               0.95533746               0                        0                        1.0                      0.4                      10.000000000000002       1008866                  0.00034056063            0.01                     98754                    2.426287                 2.5e-05                  985436                   -0.062110152             5.1897507                2.5366677e-05            1.7398258                1075.5562                
500                      0.9047900469435586       1125792                  1591.0516655715073       250                      3425.029744972182        32                       0.01287152               0.95533746               0                        0                        1.0                      0.4                      10.000000000000002       1121465                  0.00028616528            0.01                     109776                   2.4306452                2.5e-05                  1095422                  0.3666707                4.7795224                8.7949894e-07            1.844696                 1912.6215                
550                      1.001733550429344        1243464                  1651.8582469757544       254                      3565.1198268101957       32                       0.01287152               0.95533746               0                        0                        1.0                      0.4                      10.000000000000002       1239061                  0.00033820662            0.01                     121285                   2.4830275                2.5e-05                  1210287                  -0.15789327              5.184153                 0.00016936127            1.8932896                3302.3364                
600                      1.0991198692719142       1361955                  1889.3524893084866       225                      3523.596981678753        32                       0.01287152               0.95533746               0                        0                        1.0                      0.4                      10.000000000000002       1357233                  0.00029720966            0.01                     132853                   2.432208                 2.5e-05                  1325715                  0.17653255               4.8844256                0.0002775074             1.6934144                203.10123                
650                      1.1945636282364527       1477657                  1579.5192015266555       266                      3579.325379333607        32                       0.01287152               0.95533746               0                        0                        1.0                      0.4                      10.000000000000002       1472608                  0.00039578477            0.01                     144147                   2.3498507                2.5e-05                  1438409                  -0.09810555              5.5992823                1.649782e-05             1.6883831                575.7279                 
700                      1.2902358374330734       1593594                  1654.011988904906        255                      3616.9326039596244       32                       0.01287152               0.95533746               0                        0                        1.0                      0.4                      10.000000000000002       1588265                  0.0005884104             0.01                     155466                   2.0326383                2.5e-05                  1551381                  -0.18249445              6.9336057                4.714945e-19             1.3826038                433.29745                
750                      1.3862407941950692       1710030                  1652.575698874706        256                      3648.7896871547273       32                       0.01287152               0.95533746               0                        0                        1.0                      0.4                      10.000000000000002       1704377                  0.00039262956            0.01                     166831                   2.4097066                2.5e-05                  1664800                  0.053945906              5.5683146                1.2665335e-05            1.7196819                444.44235                
800                      1.4832566707001793       1828037                  1669.739589960475        259                      3655.6260252222673       32                       0.01287152               0.95533746               0                        0                        1.0                      0.4                      10.000000000000002       1822167                  0.00037397642            0.01                     178361                   2.395413                 2.5e-05                  1779852                  -0.09171866              5.409597                 4.994371e-06             1.710519                 750.258                  
850                      1.578257692390018        1943042                  1402.8663224647507       301                      3667.13397944568         32                       0.01287152               0.95533746               0                        0                        1.0                      0.4                      10.000000000000002       1936895                  0.001173801              0.01                     189588                   1.9001139                2.5e-05                  1891918                  -0.310558                9.667577                 7.070591e-15             1.3192512                1126.4812                
900                      1.673245564699173        2058063                  1460.6935908198093       289                      3673.4279348364175       32                       0.01287152               0.95533746               0                        0                        1.0                      0.4                      10.000000000000002       2051619                  0.00066886714            0.01                     200814                   2.0336795                2.5e-05                  2003976                  -0.12155402              7.3862286                5.1724285e-20            1.3930626                139.39752                
950                      1.7689495686027739       2173923                  1582.2781879274512       269                      3721.513415734382        32                       0.01287152               0.95533746               0                        0                        1.0                      0.4                      10.000000000000002       2167310                  0.0003591987             0.01                     212138                   2.3577085                2.5e-05                  2116978                  0.1285304                5.310028                 3.5438197e-06            1.6982393                587.10913                
1000                     1.8653202317158382       2290901                  1727.0334014823384       251                      3692.444453178132        32                       0.01287152               0.95533746               0                        0                        1.0                      0.4                      10.000000000000002       2283938                  0.000348862              0.01                     223555                   2.382062                 2.5e-05                  2230900                  0.039582487              5.2492375                1.4423706e-06            1.7462347                447.91086                
1050                     1.9626423825158013       2409030                  1571.5306164173724       281                      3609.95041810895         32                       0.01287152               0.95533746               0                        0                        1.0                      0.4                      10.000000000000002       2402000                  0.0003359662             0.01                     235110                   2.3801675                2.5e-05                  2346222                  -0.0017665371            5.138339                 1.8853018e-05            2.3254921                11867.552                
1100                     2.0576705478959614       2524412                  1581.9782135328066       273                      3654.420242288506        32                       0.01287152               0.95533746               0                        0                        1.0                      0.4                      10.000000000000002       2516850                  0.000660361              0.01                     246353                   1.9887397                2.5e-05                  2458403                  -0.019512359             7.290309                 2.6743549e-21            1.3492227                112.68287                
