Iteration                Wall_Time                Samples                  Train_Return             Train_Paths              Test_Return              Test_Paths               Critic_Loss              Critic_Steps             Actor_Loss               Actor_Steps              Adv_Mean                 Adv_Std                  Adv_Weights_Min          Adv_Weights_Mean         Adv_Weights_Max          
0                        0.0007401668363147312    2155                     20.466658088246405       78                       126.23967995304409       32                       0.00410020468857488      203                      2.440671903863916        1015                     5.2268515                6.762943                 0.047166284              1.7061139                29.070074                
50                       0.09788571463690864      108847                   251.28325245058804       950                      400.15417288995377       32                       0.00158017991211614      10554                    2.3019458537506163       52673                    0.53384274               5.65405                  9.359963e-10             1.6446054                334.5574                 
100                      0.19797816786501143      215534                   436.69717828147554       703                      664.4456029857047        32                       0.005588643725325421     20928                    2.024086230181807        104445                   0.5061169                10.355185                1.8350681e-09            1.4359531                260.09814                
150                      0.2989422569009993       323451                   615.3802574503345        545                      743.0312005466739        32                       0.003357692396259743     31439                    2.089023768083829        156900                   0.26956776               8.071026                 6.4452523e-12            10.443005                105642.07                
200                      0.40047161791059704      431700                   770.4173310715144        457                      885.9652746323463        32                       0.0027402473820580375    41991                    2.1536398694776206       209557                   0.03971831               7.260562                 2.4964525e-16            1.5319042                400.66833                
250                      0.5035833427641127       541709                   968.0128102051782        381                      543.1415669829779        32                       0.0017119979858398438    52722                    2.2216501210485307       263108                   0.25277343               5.8525076                3.551962e-11             1.6609842                923.60657                
300                      0.6066519703467687       651801                   1049.7611076749567       354                      854.0861437414516        32                       0.0030733166671380765    63466                    1.9466955255855554       316714                   0.1436074                7.681046                 1.8061492e-13            1.6929598                7395.264                 
350                      0.7124894911050796       765199                   1220.5295994668295       316                      3431.8934614515724       32                       0.0021590100133360313    74530                    2.0399923531496547       371956                   -0.019727107             6.565063                 3.7999973e-20            1.3936089                125.38948                
400                      0.8276084107160568       881439                   1583.3694636933778       253                      3476.2105688493025       32                       0.002536407214100078     85881                    1.9752947910040288       428613                   -0.08532407              6.878392                 7.5842555e-13            415.92                   6756381.0                
450                      0.9429130308495628       996506                   1386.4959273046143       289                      3497.6844750055925       32                       0.002156068038727556     97115                    2.073280621086762        484680                   -0.031641                6.4944654                3.2342903e-14            11.85046                 200250.23                
500                      1.0563158896896574       1110112                  1577.1878219575203       253                      560.2110039266558        32                       0.002318599466550148     108210                   1.9448534907126913       540052                   -0.17402926              6.726745                 2.6656669e-21            1.3324293                105.70731                
550                      1.1622458769215478       1223896                  1481.2601649689427       271                      3513.11413644324         32                       0.0011508231577665908    119320                   2.244311487951944        595502                   0.055993505              4.7324023                1.6550943e-05            1.6431329                545.7163                 
600                      1.2782429121600256       1339751                  1571.1974907307253       265                      2838.976613830524        32                       0.0011322329926296947    130631                   2.2862203458460364       651968                   0.21404359               4.691819                 1.4094943e-06            1.7221727                558.1219                 
650                      1.3897332186169093       1453137                  1569.6723533136337       260                      3503.173992202075        32                       0.0021097204901955346    141705                   2.081102450284091        707230                   0.25752604               6.4620557                2.2822707e-18            1.6602206                1711.692                 
700                      1.5045863160822126       1567718                  1640.2646666044525       253                      3379.4612895337305       32                       0.0011675526009927882    152895                   2.247843585628094        763077                   0.3711173                4.7264953                3.893916e-07             1.6745849                246.76329                
750                      1.618914312918981        1682807                  1534.2149530282177       273                      3552.176349105431        32                       0.0022177980642884834    164130                   2.013018229761769        819164                   -0.033271164             6.5141206                9.0718645e-14            2.436794                 9942.318                 
800                      1.7337416617737875       1797918                  1586.33581117925         265                      3579.383309262412        32                       0.0013192654313410029    175370                   2.2745716654384673       875263                   -0.43174443              5.076957                 7.726486e-07             1.6488893                281.7002                 
850                      1.8489164933231141       1913126                  1482.2211802291542       285                      2577.8360235499626       32                       0.0013474690632557305    186619                   2.245452856772889        931404                   -0.14668296              5.1253095                2.5022023e-06            1.6975521                1343.0721                
900                      1.963833841085434        2031256                  1529.8430094908617       283                      3657.4120207752867       32                       0.0024472605891344024    198152                   1.9137032361534554       988969                   -0.34929687              6.790368                 8.735943e-23             1.3254589                210.18681                
950                      2.079438235561053        2146964                  1472.826996075125        288                      3626.804919496238        32                       0.002966486244666867     209452                   1.9400968551635742       1045352                  0.105458304              7.5128098                3.0532082e-13            16.571596                620679.8                 
1000                     2.1938918887906604       2261586                  1569.901357098904        269                      3611.6358449829504       32                       0.0011668108467362884    220642                   2.20637686965812         1101215                  0.34536013               4.7701974                5.8557673e-12            1.6386564                1170.8888                
1050                     2.306335674590535        2374040                  1417.1095444538453       294                      3614.6595581508955       32                       0.001633459301752465     231619                   2.1771245954633316       1156006                  -0.0110846395            5.7014475                2.330849e-09             1.5837288                894.57227                
1100                     2.4205872693326738       2488192                  1471.1837288149031       285                      3551.552299020782        32                       0.0032042259179451615    242762                   1.8823828314073088       1211627                  0.25242501               7.863649                 4.762852e-18             1.2873454                139.37819                
1150                     2.535844317475955        2603645                  1727.1290893705232       246                      3615.52119855335         32                       0.0034182385818378345    254041                   1.8590177049284264       1267902                  -0.090960875             8.064451                 6.463262e-16             1.274838                 49.113014                
1200                     2.652685077720218        2720604                  1613.718529878976        268                      3553.0955846062643       32                       0.0029464624297450967    265461                   1.8531658355626763       1324904                  0.7736181                7.4696345                2.2334443e-19            1.9012473                10871.838                
1250                     2.768420214851697        2836773                  1564.7833957985538       275                      3627.6474141688777       32                       0.002415213179081044     276802                   1.9990165749441013       1381517                  0.28707474               6.660301                 1.3145076e-19            1.4059509                213.4235                 
1300                     2.883288627995385        2951774                  1580.0727604450299       271                      3670.8852314967685       32                       0.003577561224277933     288033                   1.9050993990684197       1437560                  -0.21633025              8.454123                 1.4926842e-18            1.32571                  127.065926               
1350                     2.999703957637151        3068480                  1503.466428044904        289                      3695.739916737963        32                       0.0032274784065607024    299429                   1.994819328235903        1494429                  0.067087494              7.6106243                1.896025e-14             1.7280867                5605.8237                
1400                     3.115190655191739        3183838                  1480.2853383347438       291                      3675.3645231472437       32                       0.003884001768061093     310694                   1.8530610032452999       1550643                  -0.004349996             8.560948                 3.3157385e-16            1.8906087                24469.266                
1450                     3.2306617140769958       3299698                  1640.7895927869943       262                      3655.841853785031        32                       0.0013455124647636723    322006                   2.2478654566819105       1607111                  0.3438919                5.122998                 2.173783e-06             1.7057978                797.4528                 
1500                     3.3481987228658463       3417780                  1785.8195340890297       248                      3686.9271233637623       32                       0.0011711653271411879    333541                   2.1965126555429864       1664670                  0.16109394               4.8274918                9.559912e-10             1.6749383                963.7928                 
1550                     3.4627996190388997       3532413                  1459.1155645959318       298                      3700.7730909619845       32                       0.002084880839777357     344732                   2.0208843050105285       1720521                  0.22357458               6.5010324                5.3067395e-19            1.4149088                320.28198                
1600                     3.5775900108946694       3646913                  1387.628362637047        312                      3674.5163238810883       32                       0.0032650149212433742    355909                   1.9258435787722785       1776301                  0.049421888              7.8860393                3.9673841e-19            1.3844835                758.6755                 
1650                     3.690905927287208        3760025                  1363.489921076476        314                      3706.947545462601        32                       0.0015512787963289664    366949                   2.2602098713088585       1831405                  -0.04951356              5.4680643                7.874299e-06             1.6637051                416.55804                
1700                     3.8047147945563          3872953                  1430.4009855586526       300                      3695.6352106267477       32                       0.0023388099982748906    377971                   1.880447001228166        1886423                  -0.10306101              6.7951574                6.1109205e-23            1.2977242                134.97684                
1750                     3.9163468072811765       3983952                  1243.499303991433        339                      3651.6408658698697       32                       0.002689766991245854     388798                   2.002823893229167        1940478                  0.16185154               7.123688                 6.773082e-15             5.60268                  110514.67                
1800                     4.030010121398502        4096150                  1341.6610412252887       317                      3650.035279001056        32                       0.0019016461271160053    399748                   2.1745940699721826       1995131                  0.24377288               6.1493683                2.9499308e-05            1.6396215                2183.114                 
1850                     4.143544129861725        4209448                  1482.2264928217935       290                      3611.306497627335        32                       0.0016132526927524144    410809                   2.267162672876781        2050337                  -0.08808138              5.686345                 1.3540602e-05            1.7162342                975.0909                 
1900                     4.257456817560726        4322904                  1413.959391905806        304                      3593.4835111127722       32                       0.0028054288830526076    421885                   1.9986618512527532       2105610                  0.057378177              7.3232327                2.2377777e-18            3.9592528                112996.46                
1950                     4.373554405371348        4438771                  1475.670853940019        297                      3597.454447832281        32                       0.004619512191185585     433196                   1.8769508644386574       2162068                  -0.008960086             9.649569                 7.392552e-15             1.3409088                502.6444                 
