Iteration                Wall_Time                Samples                  Train_Return             Train_Paths              Test_Return              Test_Paths               Critic_Loss              Critic_Steps             Actor_Loss               Actor_Steps              Adv_Mean                 Adv_Std                  Adv_Weights_Min          Adv_Weights_Mean         Adv_Weights_Max          
0                        0.000391775369644165     2127                     22.181440399124938       78                       239.337369227371         32                       0.003279184227559104     201                      2.442615246082043        1001                     5.686562                 8.001002                 0.024797104              1.6780382                24.774084                
50                       0.052652272979418435     107834                   201.10517338500932       1138                     231.60007907625453       32                       0.0005706310492431002    10438                    2.219269884433671        52082                    0.117309354              3.3715904                4.648508e-12             1.9918334                5714.4756                
100                      0.10634677608807881      214013                   319.5240801218194        830                      399.102208138255         32                       0.0013134534232282409    20750                    2.0592006679649613       103542                   0.27839765               5.110691                 1.5022271e-10            1.4198971                136.0657                 
150                      0.16064973731835683      321194                   390.4859067235748        751                      430.14006866657786       32                       0.00042095854175540635   31169                    1.9933802551442763       155533                   0.12263681               2.8962483                1.0232979e-20            1.37381                  131.84167                
200                      0.21487591981887819      428181                   436.9657334882091        695                      521.2196829437345        32                       0.0023003978764309604    41571                    2.098678903945428        207458                   0.3415253                6.764054                 3.527634e-12             1.4621168                201.99565                
250                      0.26908646245797474      534993                   541.8409484744757        587                      805.0263879023489        32                       0.005398895304936629     51970                    1.9155468280498797       259351                   0.09050493               10.39784                 9.611122e-10             1.3519475                278.25864                
300                      0.32469483772913615      644452                   715.9697457838723        477                      1049.473928775442        32                       0.008290366349716532     62637                    1.961466803970822        312588                   -0.34039617              12.864776                2.4691609e-09            1.3961141                764.40314                
350                      0.3813296673695246       755388                   927.7530899120693        383                      3171.483663692234        32                       0.0031487790549673683    73459                    2.135369062423706        366586                   0.045339867              7.8971705                5.0253606e-13            1.5370069                221.90775                
400                      0.443738229142295        871296                   1228.781530909142        306                      3157.82778203699         32                       0.004598502502884976     84774                    1.855459421234273        423059                   0.5329688                9.517671                 3.8762288e-14            1.2742407                139.30064                
450                      0.507041914595498        989376                   1469.4194070371132       265                      3336.893005299256        32                       0.00253007833550616      96303                    1.945979314052321        480610                   -0.09267049              7.071553                 4.6494337e-18            1.3194115                85.15185                 
500                      0.568862694700559        1104009                  1430.3681305727619       270                      3407.115708761284        32                       0.003592197591445866     107494                   1.8551398663481404       536479                   -0.16999736              8.251094                 2.6648297e-16            1.3352034                1766.6637                
550                      0.6319715863466263       1221230                  1531.2855991779948       260                      3421.246208638534        32                       0.004914586652408947     118939                   1.783900701349432        593614                   -0.27321738              9.602643                 2.4097437e-15            1.1959833                28.866613                
600                      0.6941598938571082       1336662                  1631.449405244727        243                      3468.3923718284286       32                       0.002684230653985033     130216                   1.843761518307697        649886                   0.12443507               7.2413545                3.3029358e-17            1.2962173                279.39206                
650                      0.7563685025109185       1452238                  1506.8275158882336       267                      3483.4088885061274       32                       0.0031480128409096557    141501                   1.8905663974043252       706218                   -0.16527584              7.964557                 5.8256355e-15            1.3669116                1817.5917                
700                      0.818840759396553        1568488                  1511.7148698968035       268                      3521.7053027963098       32                       0.0030685467682337103    152851                   1.9156236082244655       762875                   -0.003250095             7.7602973                6.274091e-17             1.3316653                238.83737                
750                      0.8807147008180618       1682923                  1570.5791672172002       255                      3514.9689301181497       32                       0.002915893282209124     164027                   1.8507478527216246       818656                   -0.25633267              7.703206                 3.3576545e-15            1.586617                 3144.4172                
800                      0.9412967012988196       1794879                  1619.0268179983466       243                      3482.594093918752        32                       0.004830509424209595     174964                   1.720869389485391        873227                   -0.24739254              9.986279                 4.2075183e-14            1.1810673                235.59581                
850                      1.0039466926786635       1911543                  1652.159624191279        247                      3519.1308876704447       32                       0.008078384709048581     186356                   1.7498816416431364       930093                   -0.18734458              12.632279                7.519116e-11             1.2014923                164.4454                 
900                      1.0666323574384053       2028314                  1602.3053058179328       257                      3540.3997345661437       32                       0.002804974463418566     197760                   1.9869596657361346       987011                   0.2040472                7.400291                 8.102789e-16             5.061879                 151300.75                
950                      1.1283980986144808       2142688                  1705.8882212172416       238                      3532.6373891659714       32                       0.004096846157145277     208930                   1.8214790765318054       1042769                  -0.08839807              8.937752                 2.908157e-16             1.5418547                10991.141                
1000                     1.1906410069598092       2258415                  1621.1330306495304       255                      3572.0552417519675       32                       0.00600848895198894      220231                   1.764022148659236        1099176                  0.13230993               10.937796                1.8756413e-14            1.2814445                3087.412                 
1050                     1.2526738681395848       2373879                  1592.3498693061076       261                      3595.2835216484636       32                       0.00332251146658143      231506                   1.8142448014127994       1155452                  -0.1447827               8.220778                 6.351972e-17             1.2713099                338.632                  
1100                     1.3147309945689307       2488690                  1431.0743237187912       289                      3569.709848524927        32                       0.003878497251189581     242714                   1.91196794765083         1211399                  0.12125751               8.659035                 3.0358843e-14            5.902509                 77775.625                
1150                     1.3763942724466325       2602988                  1543.0549314722891       266                      3566.220584352899        32                       0.0012118762309572338    253880                   2.1837123573249113       1267101                  -0.0023987016            4.916401                 3.0466994e-05            1.6714804                470.8426                 
1200                     1.4388852927419875       2719113                  1631.2706916998106       258                      3538.4197074720532       32                       0.00409581981566509      265219                   1.8255083133012822       1323702                  -0.13177529              8.953999                 4.840037e-17             1.2424865                36.472744                
1250                     1.5013285844193565       2835156                  1491.3381022730866       282                      3504.2141155121167       32                       0.003650960249778552     276550                   1.7874485755253002       1380254                  -0.13897935              8.607525                 7.214437e-18             1.3700212                6527.5737                
1300                     1.5648706761995952       2953585                  1556.310354553591        276                      3578.598222284355        32                       0.0026324879969650073    288116                   1.8800480220200988       1437971                  0.061239768              7.212169                 2.0112725e-17            1.4892524                4448.8975                
1350                     1.6281512149837283       3071252                  1613.1529994119426       268                      3557.729927257326        32                       0.007468822854676397     299604                   1.798610742541327        1495322                  0.033446185              11.968242                1.4121016e-12            63.36567                 2739881.8                
1400                     1.6895832356479432       3184863                  1288.9125974803299       323                      3576.377964397946        32                       0.004925221636675406     310691                   1.7977080618028614       1550663                  0.079285264              9.772767                 8.1226574e-16            1.2414621                204.05118                
1450                     1.7502264810933008       3296737                  1353.0065095718908       304                      3602.760146153426        32                       0.007139328320821126     321614                   1.7230790433510343       1605166                  -0.2521253               12.117494                2.4162092e-12            1.5013644                10107.636                
1500                     1.8119432916243872       3410939                  1403.2802526546614       299                      3580.814844939808        32                       0.0077179710646182445    332762                   1.7196843346884085       1660805                  -0.736694                12.457198                2.045052e-12             1.1642779                13.496126                
1550                     1.87412152853277         3526407                  1493.2672684022255       283                      3605.5239567930926       32                       0.005059082637770904     344032                   1.7585898682662133       1717070                  -0.017621867             9.984558                 4.5186253e-14            4.720532                 83942.54                 
1600                     1.9371964204311372       3643791                  1508.912179757163        285                      3514.9617822221376       32                       0.004708087986165827     355491                   1.781388427956928        1774270                  -0.015733298             9.734334                 3.2065234e-16            1.2070291                54.008038                
1650                     1.999446229537328        3759372                  1492.222932117899        283                      3468.4660760914944       32                       0.005308954339278371     366774                   1.8115354409021072       1830594                  -0.040715404             10.012561                2.6649647e-14            2.8115513                61101.83                 
1700                     2.0609840543402567       3873207                  1498.300282392361        283                      3523.8092793509813       32                       0.002149311287143219     377888                   1.9084878783715542       1886064                  -0.028780831             6.654903                 3.6909824e-23            1.3070409                89.35546                 
1750                     2.122667887343301        3987489                  1410.0578333981728       302                      3576.6135376113466       32                       0.003813763274702915     389041                   1.880779887354651        1941743                  0.009772905              8.56657                  4.0666794e-14            1.3001599                99.591095                
1800                     2.1841067616144816       4101046                  1426.3728170895672       294                      3570.0214386958337       32                       0.004936680839392557     400124                   1.7704903571482127       1997069                  -0.033033475             9.895182                 1.1165333e-13            29.009264                593120.5                 
1850                     2.246482557853063        4217019                  1635.1912656960144       265                      3605.212054606424        32                       0.0031499681969034184    411448                   1.8113365069397138       2053591                  -0.16527672              8.017003                 6.0655055e-19            2.1853166                46258.77                 
1900                     2.308384200003412        4331771                  1324.4924208904802       325                      3506.782819738767        32                       0.001469800958718954     422645                   2.230867973663522        2109488                  0.027484853              5.4137554                2.5698596e-06            1.6768935                927.6257                 
1950                     2.3712175749407876       4448424                  1669.2493188540138       262                      3593.2794821366883       32                       0.0022737053022430275    434034                   1.9041651983865162       2166344                  -0.27344254              6.7314224                1.2169962e-20            1.3319377                137.54985                
2000                     2.432498097088602        4561762                  1449.7968344891676       294                      3539.4946449418308       32                       0.0014646441306707995    445096                   2.171120194721763        2221565                  -0.020170975             5.3485436                5.7808826e-08            1.7170043                1567.7438                
2050                     2.4942428308063085       4675927                  1371.1123441955442       314                      3630.115139319093        32                       0.004145116621745382     456241                   1.8074738052027763       2277183                  -0.2517628               8.898992                 2.783155e-17             1.2439156                74.09086                 
2100                     2.555810706482993        4790031                  1390.3156305230084       309                      3471.2964449164715       32                       0.0012716262351048675    467376                   2.251801559744268        2332771                  0.01522782               4.9790263                0.00011080925            1.7188988                358.50507                
2150                     2.617488833930757        4904652                  1445.1133614101605       299                      3584.640316716788        32                       0.005204932028505982     478568                   1.7879204393134986       2388615                  0.12900427               10.07157                 1.5678626e-14            1.2602222                964.1527                 
2200                     2.6793813520669936       5019304                  1451.1061695275896       297                      2158.9128259566137       32                       0.0037887847724081087    489761                   1.852541734072496        2444477                  -0.03807264              8.605202                 8.460513e-16             1.3950665                4048.6702                
2250                     2.739493167002996        5135292                  1465.192220567665        296                      3433.8786870520566       32                       0.004694719636251056     501084                   1.8251440371420047       2500989                  0.27867138               9.689171                 1.1099355e-14            1.2673665                218.1785                 
2300                     2.8016209641430114       5251223                  1603.2933855973426       271                      3601.8813857301093       32                       0.0021378723319601897    512404                   1.9157115718402105       2557490                  0.5055485                6.524131                 5.166481e-17             2.0273151                26746.873                
