Iteration                Wall_Time                Samples                  Train_Return             Train_Paths              Test_Return              Test_Paths               Critic_Loss              Critic_Steps             Actor_Loss               Actor_Steps              Adv_Mean                 Adv_Std                  Adv_Weights_Min          Adv_Weights_Mean         Adv_Weights_Max          
0                        0.0010480370786454943    2133                     153.15722729974084       68                       283.0032264534753        32                       0.026757344160929765     202                      -4.937998927620169       1009                     -3.7080283               20.129751                0.047520634              1.6128721                37.834175                
50                       0.1504350564877192       108120                   330.5332167289226        1583                     395.61852693658363       32                       0.009381538455926099     10423                    -5.711343294902913       52013                    -0.89195967              13.52136                 0.00023192959            1.6515841                209.39662                
100                      0.30493899405002595      214035                   446.0987348677818        1198                     518.2703215695718        32                       0.00674546278264534      20672                    -6.035136606501437       103168                   0.3487561                11.51757                 0.00049777975            1.7354455                359.14633                
150                      0.45934024857150185      319763                   493.7152553545915        1078                     583.2489200516385        32                       0.006726914360409691     30916                    -6.20524895361654        154288                   0.20081972               11.457597                0.00037419883            1.7454509                338.55597                
200                      0.6152131344212426       426007                   518.5632307696358        1024                     551.6300610550204        32                       0.007581288734691565     41218                    -6.041345671290748       205688                   0.014381598              12.018017                1.3024551e-07            1.713562                 323.39328                
250                      0.7698348311583201       531660                   528.2959591471672        999                      573.1200180864209        32                       0.007521660971980524     51464                    -6.3395914790972885      256809                   0.8062771                12.272301                0.0010440137             1.8081124                242.3051                 
300                      0.9260160060061349       638143                   527.7891992673827        1011                     525.7414809757148        32                       0.00906338284655315      61788                    -6.1180552373533725      308331                   -0.4251461               13.087372                0.0011659267             1.7208287                416.2761                 
350                      1.0814596940411463       744624                   530.6528816905708        1004                     512.2732876418698        32                       0.009692420413838098     72116                    -6.045679149513473       359860                   0.13344884               13.704172                0.0013576724             1.8296256                712.41986                
400                      1.235833008620474        850395                   538.5418351554644        978                      517.1306703809439        32                       0.01082750161488851      82374                    -6.006017020089286       411051                   -0.37655976              14.6518135               0.0015546556             1.7180263                342.89877                
450                      1.391093625889884        956398                   524.7285931899313        1006                     577.0263887136143        32                       0.00971829891204834      92654                    -6.144436961206897       462347                   -0.093450524             13.708274                0.0009731946             1.7659885                618.3434                 
500                      1.5465112483501435       1062865                  529.2929753182437        1004                     571.9044550088089        32                       0.010886868434165841     102976                   -5.969328739728586       513864                   1.0648773                14.312504                0.00061114196            1.6967379                204.30997                
