Iteration                Wall_Time                Samples                  Train_Return             Train_Paths              Test_Return              Test_Paths               Critic_Loss              Critic_Steps             Actor_Loss               Actor_Steps              Adv_Mean                 Adv_Std                  Adv_Weights_Min          Adv_Weights_Mean         Adv_Weights_Max          
0                        0.0009421351883146498    2159                     98.67210387365458        105                      185.3740521532911        32                       0.016376886794816203     201                      15.62270902137338        1003                     8.066416                 12.385218                0.06299168               1.7191259                42.256683                
50                       0.09373632431030274      108028                   246.64509641220317       2110                     440.59380310189675       32                       0.011428018028919514     10357                    13.524758676382211       51688                    0.14355057               15.14869                 0.00083732675            1.6559391                166.48637                
100                      0.192193946507242        213886                   417.54201177500767       1293                     442.0792134325257        32                       0.007019441116032342     20594                    13.425672099097428       102772                   -0.10173716              11.69168                 7.227079e-05             1.7717996                1152.411                 
150                      0.29071645941999225      319581                   456.3555130050405        1188                     493.53857433264386       32                       0.005321796965483882     30824                    13.616743263518428       153823                   0.27645323               10.20804                 0.00037926968            1.755944                 593.26013                
200                      0.3894914086659749       425514                   481.08775026565615       1137                     502.3813199231939        32                       0.005180997214293832     41084                    13.946318947433367       205019                   0.0750723                10.126135                0.0029285925             2.1771202                2845.3398                
250                      0.48849031137095555      531657                   506.82614138929887       1086                     579.6186259441334        32                       0.005887325761353441     51365                    13.856436653325122       256337                   0.490731                 10.719057                0.00025839018            1.7637736                409.53085                
300                      0.5876699209213256       637795                   529.3833397762585        1039                     607.7141455741969        32                       0.005485357322129123     61654                    13.880811125864625       307679                   0.5754569                10.314119                0.00012231368            1.8371522                726.7306                 
350                      0.6871128497521083       744238                   550.5288538657982        1003                     570.107871853585         32                       0.006540565969841332     71979                    13.64592205494242        359189                   -0.7661672               11.132632                0.0007233813             1.8179634                1676.964                 
400                      0.7863685337040159       850610                   565.74037037777          978                      634.7413940738146        32                       0.0062366781603311       82296                    13.729259176467023       410677                   0.64414304               11.00715                 0.0016633613             1.7404685                183.02223                
450                      0.885138127538893        956372                   593.4396879078896        931                      596.3036496229715        32                       0.00763638715932865      92562                    13.909842009591584       461889                   0.53820264               12.029848                0.00064198114            1.787339                 687.078                  
500                      0.9839585214191013       1062518                  609.8258706686314        908                      693.6491563222303        32                       0.009491789799470168     102866                   13.68381787909836        513300                   0.49557865               13.52196                 6.6291267e-07            1.6961329                325.96884                
550                      1.0830204396115408       1168856                  632.6512362316587        884                      664.0817429540385        32                       0.008697075544348086     113192                   13.80935046799517        564815                   0.39375657               12.970597                0.0018767441             1.8088527                360.43185                
600                      1.1819168223937353       1275248                  660.0406786415866        851                      545.9613294784309        32                       0.011542321408836587     123522                   13.37875265473301        616372                   -0.56176794              14.924385                1.2098978e-05            1.674724                 235.93881                
650                      1.280832201242447        1382062                  688.7713832710131        821                      622.2745315829401        32                       0.01264688527979557      133898                   13.040025138129753       668151                   -0.27782094              15.562636                2.051207e-06             1.6196628                206.5905                 
700                      1.3797881897952822       1488807                  741.0881819417053        769                      692.8843340356028        32                       0.013361005828930782     144276                   13.49824989473051        719924                   0.021949511              16.06647                 7.5121106e-06            1.7301866                261.2388                 
750                      1.4789610417683918       1595653                  761.8251005272026        748                      730.7061609251822        32                       0.013419197566473662     154663                   13.193873970808383       771757                   0.33053297               16.082329                1.5985965e-05            1.6942719                213.89336                
800                      1.5777706919113794       1702213                  781.8420740164842        736                      770.2206958577622        32                       0.015005692981538319     165023                   13.213756510416667       823454                   0.31052527               16.733707                4.6147034e-05            1.669914                 278.4033                 
850                      1.6768264523479675       1809081                  803.0653828307253        718                      775.4287473996005        32                       0.014083917494173403     175412                   13.398615962720315       875307                   -0.4312398               16.44458                 0.00080117455            1.7343017                321.90216                
900                      1.7758613857295777       1915937                  819.01060788517          702                      919.1037742908131        32                       0.013246784795005366     185802                   13.384197040406427       927162                   0.6939648                15.946838                3.8755406e-05            1.6909548                310.7413                 
950                      1.875108923845821        2022606                  857.7435300280241        672                      975.1711172702271        32                       0.015931526044519938     196177                   13.36431699810606        978941                   0.92676824               17.519623                0.0012003346             1.7318022                831.828                  
1000                     1.974966435233752        2129736                  861.6460279531432        676                      989.1471765256607        32                       0.0173548895579118       206599                   13.295899378311658       1030944                  -1.5932597               18.126835                9.220266e-06             1.7011448                427.92667                
1050                     2.0748820135328505       2236988                  888.7831551050953        654                      1001.7714511323071       32                       0.014604214259556362     217034                   13.524162946428572       1083015                  -0.042523224             16.546272                0.0017648312             1.7586983                361.07642                
1100                     2.174918486012353        2344736                  893.7594304741846        655                      1092.831652975526        32                       0.01523297605380206      227516                   13.604776596371348       1135330                  0.2114816                17.076582                0.000498072              1.8113114                1255.2821                
1150                     2.27504866666264         2452355                  897.1926616147978        654                      1097.6694614547891       32                       0.01720101277805069      237984                   13.348319665265594       1187586                  0.9847952                18.129547                2.892027e-05             1.7169017                256.7952                 
1200                     2.374313833117485        2558767                  920.0822473649142        633                      1201.2338026044777       32                       0.0162162602837406       248339                   13.467321216941118       1239262                  -0.57801396              17.464006                0.0020202547             1.7247236                260.40042                
1250                     2.473911526401838        2665795                  916.0268797176316        645                      1209.2952105976397       32                       0.020066245838447853     258753                   13.059679825069509       1291233                  -1.0150914               19.49879                 2.908254e-05             1.7089034                2267.6484                
1300                     2.57414490017626         2773601                  950.963731664321         626                      1237.6501098138804       32                       0.018805910956184817     269244                   13.588651403151559       1343588                  0.23124477               18.761452                0.00017684551            1.8654436                920.4441                 
1350                     2.6747107223007416       2881910                  980.7175581674394        608                      1304.6394948236943       32                       0.0191216223707823       279790                   13.409242780021067       1396202                  0.011028822              18.863045                0.00058153516            1.9038448                2136.6023                
1400                     2.7753771043486064       2989982                  1002.9657463387158       593                      1265.0099184144103       32                       0.021089098032783058     290316                   13.209389994463583       1448706                  0.25916025               20.046976                3.203818e-05             1.7522131                795.61945                
1450                     2.8760586665736305       3098341                  1029.0931936581223       583                      1238.2531573522601       32                       0.022861731106832147     300862                   13.380516909246575       1501355                  0.12353961               20.740808                0.0008095346             1.7379307                900.8777                 
1500                     2.976452985538377        3206252                  1036.1729442459657       577                      1153.2209878837707       32                       0.025584066417855277     311368                   13.107413614602914       1553789                  1.3913153                21.904379                0.0001449251             1.6331937                259.84537                
1550                     3.0770690308676825       3314645                  1068.949125343786        561                      1340.0387113162099       32                       0.027068493412990197     321923                   13.423673981311275       1606471                  0.6548082                22.751759                0.000191131              2.1319816                3024.8997                
1600                     3.1776814931631088       3422852                  1064.427027968347        565                      1377.6953037322546       32                       0.025114083958563405     332460                   13.146990470065482       1659057                  0.063321665              21.839968                0.0006246427             1.6770906                271.89795                
1650                     3.2788183050023183       3531819                  1078.97700984342         562                      1562.803549768406        32                       0.026180668056291035     343069                   13.340815714748116       1712013                  0.067424454              22.248518                0.0012629217             1.8138347                950.556                  
1700                     3.3798266019423804       3640144                  1090.7054931208127       553                      1365.144826473473        32                       0.025993100986924284     353619                   13.321258175872092       1764659                  0.057214495              22.052204                0.00038808055            1.6803325                156.93092                
1750                     3.4804984359608757       3748520                  1126.6524768771637       536                      1631.041329019702        32                       0.02615253167218327      364176                   13.47165348924607        1817340                  0.47254086               22.294048                0.0013048884             1.7340198                620.8283                 
1800                     3.5811489119794633       3856144                  1150.0288527054736       521                      1967.9087905289866       32                       0.027870413251397733     374660                   13.230206293031815       1869661                  0.26304036               22.59443                 0.00014020297            1.6347874                97.51834                 
1850                     3.6830255954795414       3964692                  1215.898485058905        497                      2726.213889083768        32                       0.02894118769251885      385235                   13.03476854011194        1922446                  1.3145863                23.148235                0.0009157749             1.62731                  175.89236                
1900                     3.7867515211635165       4074029                  1270.0563192571115       482                      2755.4510166729597       32                       0.03136148055394491      395891                   13.37771227098794        1975624                  -0.6655618               24.150415                0.0006647658             1.6746851                447.90808                
