Iteration                Wall_Time                Samples                  Train_Return             Train_Count              Test_Return              Test_Count               State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Exp_Temp                 Exp_Samples              Critic_Loss              Critic_Stepsize          Critic_Steps             Actor_Loss               Actor_Stepsize           Actor_Steps              Adv_Mean                 Adv_Std                  Adv_Weights_Min          Adv_Weights_Mean         Adv_Weights_Max          
50                       0.057815798587269256     106476                   -146.9317567649619       1005                     -573.9522383895303       32                       0.009450747              0.33375156               0                        0                        1.0                      0.2                      10.000000000000002       106448                   8.9101086e-05            0.01                     10419                    2.1404145                0.0005                   52001                    0.4349815                13.248366                2.5510794e-06            69.69531                 1361628.9                
100                      0.12746504882971446      217480                   -83.64544499987417       644                      -176.48256046286468      32                       0.009450747              0.33375156               0                        0                        1.0                      0.2                      10.000000000000002       215986                   0.000102850485           0.01                     21143                    1.6028194                0.0005                   105510                   0.34437463               14.271386                5.671039e-06             13.347898                168409.53                
150                      0.22090156634648642      337029                   -41.51418252185673       217                      -435.08806635187665      32                       0.009450747              0.33375156               0                        0                        1.0                      0.2                      10.000000000000002       335356                   6.616742e-05             0.01                     32825                    1.4137716                0.0005                   163821                   -0.018209811             11.487526                7.569415e-07             11.820364                83394.766                
200                      0.3219650803009669       459862                   -3.2175458447370278      207                      -342.2226097613737       32                       0.009450747              0.33375156               0                        0                        1.0                      0.2                      10.000000000000002       458766                   9.008953e-05             0.01                     44898                    1.2702018                0.0005                   224102                   -0.26895803              13.375603                2.4176814e-05            107.63094                2258699.0                
250                      0.4268546328279707       589129                   6.826509507520236        175                      -134.3557306985639       32                       0.009450747              0.33375156               0                        0                        1.0                      0.2                      10.000000000000002       587503                   5.736345e-05             0.01                     57490                    1.1891624                0.0005                   286983                   0.2224895                10.617686                1.1259825e-06            523532.97                21697704000.0            
300                      0.5290361077255673       716817                   24.409452461562505       155                      -10.096489557631228      32                       0.009450747              0.33375156               0                        0                        1.0                      0.2                      10.000000000000002       715391                   4.2196858e-05            0.01                     69999                    1.14152                  0.0005                   349448                   0.25144115               9.13743                  2.4746125e-08            65151.562                2462904300.0             
350                      0.6294138856066598       850093                   56.69517281100596        171                      91.97255170595119        32                       0.009450747              0.33375156               0                        0                        1.0                      0.2                      10.000000000000002       848496                   3.9585895e-05            0.01                     83015                    1.1087426                0.0005                   414460                   0.42310962               8.84862                  1.550207e-08             191.7659                 7758405.5                
400                      0.7256555173132154       980071                   66.49510870303196        170                      183.96127488303847       32                       0.009450747              0.33375156               0                        0                        1.0                      0.2                      10.000000000000002       978304                   6.018847e-05             0.01                     95711                    1.1317163                0.0005                   477862                   0.047884278              10.8011265               1.1076464e-08            99.77878                 1620240.6                
450                      0.8207243994209501       1110384                  69.96249555593732        165                      152.67405952155204       32                       0.009450747              0.33375156               0                        0                        1.0                      0.2                      10.000000000000002       1108452                  3.7507783e-05            0.01                     108441                   1.0694999                0.0005                   541434                   0.013282738              8.633572                 3.7383322e-06            2353653.5                97808030000.0            
500                      0.9114116396506627       1238077                  51.863793193044614       168                      170.48435539203834       32                       0.009450747              0.33375156               0                        0                        1.0                      0.2                      10.000000000000002       1235648                  4.988837e-05             0.01                     120881                   0.9678661                0.0005                   603564                   -0.11159304              9.925242                 2.3672103e-10            50.426243                603319.2                 
550                      0.9959592246347003       1360473                  114.92607312305981       220                      97.71683506753116        32                       0.009450747              0.33375156               0                        0                        1.0                      0.2                      10.000000000000002       1357398                  0.00012291936            0.01                     132793                   0.75891495               0.0005                   663037                   0.42471406               15.813398                2.6766895e-06            49396.406                2188852500.0             
600                      1.0717375571197933       1476985                  147.64411452447604       329                      135.13493215650837       32                       0.009450747              0.33375156               0                        0                        1.0                      0.2                      10.000000000000002       1473707                  0.00013251051            0.01                     144171                   0.7234751                0.0005                   719853                   0.42248842               16.237278                5.1053835e-06            192.9822                 6438535.0                
650                      1.1464406977097192       1589628                  137.21755647533072       305                      83.09398256556713        32                       0.009450747              0.33375156               0                        0                        1.0                      0.2                      10.000000000000002       1585896                  0.00012636757            0.01                     155150                   0.7088881                0.0005                   774659                   -0.33096394              15.873909                3.3843318e-07            9.800482                 126380.23                
700                      1.2222687514623005       1704046                  147.68360844450945       354                      171.15008623586203       32                       0.009450747              0.33375156               0                        0                        1.0                      0.2                      10.000000000000002       1700360                  0.00010856796            0.01                     166353                   0.76157004               0.0005                   830572                   0.015359353              14.670168                1.0114985e-05            2276.4907                60569036.0               
750                      1.294815975692537        1817347                  142.57677309151907       363                      131.52400504528526       32                       0.009450747              0.33375156               0                        0                        1.0                      0.2                      10.000000000000002       1812943                  0.00012200709            0.01                     177371                   0.69105625               0.0005                   885569                   0.1774227                15.542046                6.445306e-07             55.10497                 1224119.8                
800                      1.366160360707177        1928350                  151.12552793303075       360                      141.82642818824598       32                       0.009450747              0.33375156               0                        0                        1.0                      0.2                      10.000000000000002       1923506                  0.00013704211            0.01                     188195                   0.6906596                0.0005                   939580                   -0.15900473              16.41925                 9.015938e-07             1832.5233                52468344.0               
850                      1.4371034408277936       2040705                  169.59571779071516       379                      112.8613103714292        32                       0.009450747              0.33375156               0                        0                        1.0                      0.2                      10.000000000000002       2035581                  0.000117233794           0.01                     199167                   0.6265142                0.0005                   994328                   -0.11261104              15.298786                1.4174785e-06            23.472418                327288.06                
900                      1.5081069595946206       2154732                  152.20313610442219       381                      133.6351790131504        32                       0.009450747              0.33375156               0                        0                        1.0                      0.2                      10.000000000000002       2149209                  0.00012998207            0.01                     210288                   0.5535146                0.0005                   1049836                  -0.27752635              15.896605                3.167137e-08             1435.9502                39326216.0               
950                      1.5794244896703296       2268885                  159.00978956448458       389                      193.1515516638948        32                       0.009450747              0.33375156               0                        0                        1.0                      0.2                      10.000000000000002       2262962                  0.00013594418            0.01                     221422                   0.59146744               0.0005                   1105408                  -0.05541364              16.38345                 1.6329874e-05            996.2831                 21330500.0               
1000                     1.6482110013564428       2380585                  180.22269343277978       397                      142.71194513152577       32                       0.009450747              0.33375156               0                        0                        1.0                      0.2                      10.000000000000002       2374194                  9.653226e-05             0.01                     232312                   0.55004966               0.0005                   1159747                  0.04839789               13.859657                1.391261e-06             18011.115                706323300.0              
1050                     1.7160088065597745       2489651                  161.5389597044284        400                      146.88062566721652       32                       0.009450747              0.33375156               0                        0                        1.0                      0.2                      10.000000000000002       2482917                  0.00015244854            0.01                     242956                   0.55666316               0.0005                   1212861                  -0.25970542              17.634493                6.149755e-07             944.71                   29558880.0               
1100                     1.7841938097609413       2599592                  170.32394581772286       402                      188.14562690317712       32                       0.009450747              0.33375156               0                        0                        1.0                      0.2                      10.000000000000002       2592477                  0.00012860913            0.01                     253675                   0.54206234               0.0005                   1266381                  0.5679569                15.904417                9.989723e-07             434.30713                12590553.0               
1150                     1.8529234537151125       2709821                  178.61000842127675       400                      164.12383138250587       32                       0.009450747              0.33375156               0                        0                        1.0                      0.2                      10.000000000000002       2702325                  9.7652744e-05            0.01                     264425                   0.53975964               0.0005                   1320042                  -0.29186442              13.885504                8.589099e-07             31.158323                462803.25                
1200                     1.9223218344317543       2820957                  185.8868774090697        407                      134.33801112562216       32                       0.009450747              0.33375156               0                        0                        1.0                      0.2                      10.000000000000002       2812988                  8.294622e-05             0.01                     275260                   0.51263875               0.0005                   1374103                  -0.1961996               12.811393                1.6464732e-07            145.7985                 1847364.8                
1250                     1.9887823610835604       2930297                  186.55525038482546       414                      184.71211015203437       32                       0.009450747              0.33375156               0                        0                        1.0                      0.2                      10.000000000000002       2921937                  0.00010245325            0.01                     285925                   0.57138395               0.0005                   1427327                  -0.12499273              14.341624                2.884085e-08             10.890544                205381.8                 
1300                     2.056053075061904        3040488                  197.2247462751346        417                      167.46844622037918       32                       0.009450747              0.33375156               0                        0                        1.0                      0.2                      10.000000000000002       3031723                  8.773014e-05             0.01                     296671                   0.5308609                0.0005                   1480960                  -0.17645665              13.045234                2.9654426e-08            26.12562                 399811.84                
1350                     2.123025551835696        3150347                  193.67822443599786       416                      203.3103428082484        32                       0.009450747              0.33375156               0                        0                        1.0                      0.2                      10.000000000000002       3141214                  8.7409935e-05            0.01                     307390                   0.553655                 0.0005                   1534447                  -0.4003532               13.148487                2.1973764e-07            36.96362                 674310.44                
1400                     2.190371041827732        3258683                  193.55401087447052       403                      194.46387271457002       32                       0.009450747              0.33375156               0                        0                        1.0                      0.2                      10.000000000000002       3249847                  7.1383874e-05            0.01                     318023                   0.53937113               0.0005                   1587513                  0.040511586              11.808949                9.563916e-08             1473.9103                49038510.0               
1450                     2.2567946249246598       3369509                  202.44240385377879       410                      208.18916184446707       32                       0.009450747              0.33375156               0                        0                        1.0                      0.2                      10.000000000000002       3359499                  6.046872e-05             0.01                     328756                   0.47518718               0.0005                   1641079                  -0.47606236              11.045043                7.929578e-07             158.36195                4043459.5                
1500                     2.324314898053805        3480122                  203.25106100773618       435                      207.28039747192997       32                       0.009450747              0.33375156               0                        0                        1.0                      0.2                      10.000000000000002       3470441                  6.0438848e-05            0.01                     339612                   0.4729297                0.0005                   1695274                  -0.26246187              10.96611                 9.903842e-08             163.60364                4087909.0                
1550                     2.391367265846994        3591784                  203.85912844586895       438                      202.21520095561354       32                       0.009450747              0.33375156               0                        0                        1.0                      0.2                      10.000000000000002       3580886                  5.428674e-05             0.01                     350424                   0.47818115               0.0005                   1749226                  0.43294957               10.349304                2.4908917e-09            1783.2576                78495860.0               
1600                     2.4591549717055425       3700468                  209.38935364225932       424                      174.42715132117337       32                       0.009450747              0.33375156               0                        0                        1.0                      0.2                      10.000000000000002       3689227                  4.8557235e-05            0.01                     361031                   0.45018247               0.0005                   1802151                  0.31961337               9.885121                 1.6528447e-09            44.327457                790276.56                
1650                     2.5264790090587406       3810660                  210.025335564697         442                      209.73449500299873       32                       0.009450747              0.33375156               0                        0                        1.0                      0.2                      10.000000000000002       3798918                  4.9352282e-05            0.01                     371769                   0.47559154               0.0005                   1855732                  0.24117626               9.907955                 6.167886e-09             135.4771                 2184474.0                
1700                     2.5931948167085648       3921615                  204.32960707424562       427                      217.13049490693118       32                       0.009450747              0.33375156               0                        0                        1.0                      0.2                      10.000000000000002       3909422                  6.489504e-05             0.01                     382587                   0.48564848               0.0005                   1909714                  -0.0730378               11.336461                2.6039837e-08            764.95074                31243214.0               
1750                     2.6599796926312975       4032702                  212.6518380792317        441                      219.97786866125458       32                       0.009450747              0.33375156               0                        0                        1.0                      0.2                      10.000000000000002       4020118                  5.5531033e-05            0.01                     393426                   0.44944334               0.0005                   1963792                  -0.154412                10.307459                4.4987587e-11            1843.3706                52315950.0               
1800                     2.725653906398349        4142542                  211.46644693350902       441                      220.7421277155983        32                       0.009450747              0.33375156               0                        0                        1.0                      0.2                      10.000000000000002       4129468                  5.8512527e-05            0.01                     404128                   0.45048293               0.0005                   2017211                  -0.2120209               10.726445                2.4474285e-09            2081.6458                91646770.0               
1850                     2.790120481186443        4251558                  216.9095312325257        463                      206.7001261373941        32                       0.009450747              0.33375156               0                        0                        1.0                      0.2                      10.000000000000002       4238015                  4.419044e-05             0.01                     414753                   0.43617082               0.0005                   2070239                  0.024721216              9.355848                 5.0671717e-13            66.720924                3049597.2                
1900                     2.8571252699693046       4362878                  212.2283963267732        432                      202.42345911695259       32                       0.009450747              0.33375156               0                        0                        1.0                      0.2                      10.000000000000002       4348970                  4.3640586e-05            0.01                     425615                   0.4552991                0.0005                   2124443                  0.34127006               9.239469                 4.3243002e-08            7.491763                 98677.93                 
1950                     2.9258613075150386       4476458                  214.82252462538446       428                      209.88286642183584       32                       0.009450747              0.33375156               0                        0                        1.0                      0.2                      10.000000000000002       4462047                  4.810545e-05             0.01                     436679                   0.47229582               0.0005                   2179678                  0.06830006               9.881069                 7.979698e-11             2331.9148                102911980.0              
2000                     2.9913324968020123       4585723                  219.00028226359012       441                      229.41378472473133       32                       0.009450747              0.33375156               0                        0                        1.0                      0.2                      10.000000000000002       4571194                  3.4997338e-05            0.01                     447367                   0.43035853               0.0005                   2232999                  0.14263543               8.354681                 3.0052252e-09            14.57538                 249696.97                
2050                     3.0592910205655626       4698789                  208.48958724797447       436                      225.0867685274432        32                       0.009450747              0.33375156               0                        0                        1.0                      0.2                      10.000000000000002       4683518                  5.5441185e-05            0.01                     458361                   0.4114006                0.0005                   2287869                  -0.05216524              10.595874                3.170798e-09             90.22686                 2999106.8                
2100                     3.1267403775453566       4810026                  215.62462175274322       421                      225.38001653267267       32                       0.009450747              0.33375156               0                        0                        1.0                      0.2                      10.000000000000002       4794329                  4.3821114e-05            0.01                     469210                   0.3995678                0.0005                   2341999                  -0.2694122               9.319421                 1.5580349e-09            48.222027                1475067.1                
2150                     3.19407853199376         4921843                  218.1365205499136        436                      223.03581447429116       32                       0.009450747              0.33375156               0                        0                        1.0                      0.2                      10.000000000000002       4905737                  3.560472e-05             0.01                     480113                   0.4664857                0.0005                   2396422                  0.08668517               8.393466                 1.2277237e-08            71.1845                  1964460.9                
2200                     3.259783641828431        5032765                  221.02416449717418       452                      217.78164519180334       32                       0.009450747              0.33375156               0                        0                        1.0                      0.2                      10.000000000000002       5016223                  3.101546e-05             0.01                     490927                   0.43633977               0.0005                   2450397                  0.17115983               7.779668                 7.718583e-11             169.79892                5349765.5                
2250                     3.3285392316182456       5145302                  218.44738219044393       426                      226.17408774574514       32                       0.009450747              0.33375156               0                        0                        1.0                      0.2                      10.000000000000002       5128447                  4.717643e-05             0.01                     501911                   0.4497428                0.0005                   2505219                  -0.08573988              9.707145                 2.9145006e-11            304.34015                10964639.0               
2300                     3.3938312747081123       5253810                  215.73223437459998       427                      217.5870160055658        32                       0.009450747              0.33375156               0                        0                        1.0                      0.2                      10.000000000000002       5236324                  6.0072147e-05            0.01                     512472                   0.4386347                0.0005                   2557917                  -0.1444996               10.842684                1.3241616e-10            579.4483                 22916170.0               
2350                     3.4629117194811503       5364177                  218.79118976159597       432                      215.07611033974933       32                       0.009450747              0.33375156               0                        0                        1.0                      0.2                      10.000000000000002       5346318                  3.772121e-05             0.01                     523239                   0.37511495               0.0005                   2611645                  -0.13808689              8.650926                 3.2827868e-10            2311.1028                113296290.0              
2400                     3.5311265730195576       5474154                  224.56752714669742       439                      224.28540445210854       32                       0.009450747              0.33375156               0                        0                        1.0                      0.2                      10.000000000000002       5456550                  2.2429727e-05            0.01                     534031                   0.44011045               0.0005                   2665494                  0.059457384              6.682995                 8.712737e-10             10.043516                32124.941                
2450                     3.5989717436499067       5586910                  219.2683736856178        435                      228.41450837388174       32                       0.009450747              0.33375156               0                        0                        1.0                      0.2                      10.000000000000002       5568183                  3.934375e-05             0.01                     544958                   0.3530733                0.0005                   2720027                  0.05299245               8.923357                 2.685732e-11             84.60594                 3775080.8                
2500                     3.6661453495422998       5697375                  223.06282246530355       430                      224.3429620160349        32                       0.009450747              0.33375156               0                        0                        1.0                      0.2                      10.000000000000002       5678205                  2.8684944e-05            0.01                     555728                   0.425723                 0.0005                   2773770                  0.033525288              7.4257374                4.9012094e-10            29.855536                831243.6                 
2550                     3.731497265100479        5807478                  227.01213052851892       450                      229.73827758548003       32                       0.009450747              0.33375156               0                        0                        1.0                      0.2                      10.000000000000002       5787874                  1.7557122e-05            0.01                     566461                   0.45896783               0.0005                   2827345                  -0.08501355              5.893511                 0.0005955411             12.545345                30788.75                 
2600                     3.799554085201687        5921259                  223.59012167120017       451                      227.0120684651887        32                       0.009450747              0.33375156               0                        0                        1.0                      0.2                      10.000000000000002       5901200                  2.6553953e-05            0.01                     577553                   0.40684605               0.0005                   2882704                  -0.14401558              7.1541147                2.3409824e-15            20208132.0               995944100000.0           
2650                     3.8640896534919738       6030940                  228.82466027201906       463                      224.86980475499487       32                       0.009450747              0.33375156               0                        0                        1.0                      0.2                      10.000000000000002       6010407                  1.5481746e-05            0.01                     588243                   0.364815                 0.0005                   2936055                  -0.11813247              5.516351                 1.0920302e-13            4.9238873                16201.323                
2700                     3.9276703574260075       6139391                  226.8254839153478        476                      227.1788285384887        32                       0.009450747              0.33375156               0                        0                        1.0                      0.2                      10.000000000000002       6118373                  2.2412116e-05            0.01                     598810                   0.31949106               0.0005                   2988794                  0.2028836                6.619643                 1.7628558e-14            2144960.5                98115950000.0            
2750                     3.992868699563874        6249769                  226.59874697880525       460                      226.5594578423824        32                       0.009450747              0.33375156               0                        0                        1.0                      0.2                      10.000000000000002       6228331                  1.7958855e-05            0.01                     609572                   0.3668644                0.0005                   3042509                  -0.0492788               5.9346247                2.1560698e-05            5061.543                 135916130.0              
2800                     4.059650824533568        6361598                  226.60760807364284       457                      222.993543823803         32                       0.009450747              0.33375156               0                        0                        1.0                      0.2                      10.000000000000002       6339702                  1.2454478e-05            0.01                     620471                   0.3453663                0.0005                   3096916                  -0.13412638              4.9544454                2.6794837e-06            18.346338                212875.98                
2850                     4.124413472347789        6470574                  221.8387517299526        465                      206.78923931498267       32                       0.009450747              0.33375156               0                        0                        1.0                      0.2                      10.000000000000002       6448145                  2.5882264e-05            0.01                     631087                   0.37684086               0.0005                   3149890                  -0.1286016               7.1662197                5.4251254e-13            474286.8                 21854497000.0            
2900                     4.188376028935115        6579638                  228.08726808208388       472                      225.00667438667958       32                       0.009450747              0.33375156               0                        0                        1.0                      0.2                      10.000000000000002       6556837                  1.8014925e-05            0.01                     641726                   0.3172123                0.0005                   3202988                  0.091513485              5.9990945                2.3130376e-12            56.17147                 1280339.0                
2950                     4.252193286617597        6688439                  227.72988035792565       474                      232.55649977285992       32                       0.009450747              0.33375156               0                        0                        1.0                      0.2                      10.000000000000002       6665879                  1.04436285e-05           0.01                     652398                   0.30846465               0.0005                   3256251                  -0.012400941             4.600039                 1.567448e-05             7.9821887                74733.984                
3000                     4.315733332104153        6797699                  230.6220158679769        484                      224.6570231274037        32                       0.009450747              0.33375156               0                        0                        1.0                      0.2                      10.000000000000002       6773917                  1.0332296e-05            0.01                     662973                   0.30050144               0.0005                   3309028                  -0.068500884             4.638033                 5.669498e-06             4.048832                 6115.298                 
3050                     4.381608458956083        6907796                  227.9336557095888        490                      221.2169102014801        32                       0.009450747              0.33375156               0                        0                        1.0                      0.2                      10.000000000000002       6883486                  1.5790369e-05            0.01                     673701                   0.34271273               0.0005                   3362555                  -0.031952083             5.6245785                1.0217175e-10            1403.7826                60451890.0               
3100                     4.446957106060452        7016264                  230.24446131058642       483                      202.39408836986954       32                       0.009450747              0.33375156               0                        0                        1.0                      0.2                      10.000000000000002       6991456                  1.0227515e-05            0.01                     684271                   0.29644555               0.0005                   3415303                  0.028574577              4.573545                 3.396768e-05             7.52337                  46598.73                 
3150                     4.512258066402541        7125875                  229.71350047408467       454                      233.25837441224428       32                       0.009450747              0.33375156               0                        0                        1.0                      0.2                      10.000000000000002       7100630                  1.4063371e-05            0.01                     694956                   0.3088772                0.0005                   3468634                  0.13137582               5.165132                 0.0007217633             6.6224704                24372.428                
3200                     4.577004895740085        7235823                  228.61055861967515       470                      229.5490676869343        32                       0.009450747              0.33375156               0                        0                        1.0                      0.2                      10.000000000000002       7210137                  1.6945394e-05            0.01                     705674                   0.2959677                0.0005                   3522127                  -0.06624796              5.6507745                0.0053535686             53.95642                 365872.25                
3250                     4.640935257342127        7345278                  229.54395849720083       482                      228.0435366650452        32                       0.009450747              0.33375156               0                        0                        1.0                      0.2                      10.000000000000002       7319039                  1.214404e-05             0.01                     716334                   0.26079583               0.0005                   3575329                  -0.060489226             4.9582543                0.00016800019            109.2125                 1955175.5                
