Iteration                Wall_Time                Samples                  Train_Return             Train_Paths              Test_Return              Test_Paths               Critic_Loss              Critic_Steps             Actor_Loss               Actor_Steps              Adv_Mean                 Adv_Std                  Adv_Weights_Min          Adv_Weights_Mean         Adv_Weights_Max          
0                        0.0003627492321862115    2084                     -270.14232412772947      22                       -1335.295807547282       32                       0.025103689420341264     202                      2.2794399166770107       1007                     -28.734602               30.124512                0.011205632              2.0906324                179.93231                
50                       0.051661727759573194     108945                   -144.2055114783613       1029                     -213.79053426376575      32                       0.0045923777088719845    10563                    1.8976960438463657       52705                    0.99570876               9.631602                 0.0025483964             19.850088                362929.8                 
100                      0.14776593347390493      235241                   -54.407125195099916      213                      -119.59840169914501      32                       0.0019250642317553835    22893                    1.750020164515785        114289                   0.105181806              6.1451902                6.910031e-07             216.18747                8398931.0                
150                      0.27100180957052444      381503                   53.44737857413816        151                      74.64774210714685        32                       0.00022171791197903734   37165                    1.6412727642384812       185642                   0.08208865               2.0099993                1.956363e-06             1392354.0                25160897000.0            
200                      0.3895407326353921       530539                   97.65794816876782        150                      87.60754767202633        32                       0.00017658420186807678   51707                    1.3680527410409555       258349                   -0.2060756               1.71742                  5.582508e-07             1.4257281e+18            6.783475e+22             
250                      0.5053831545511881       680689                   104.22935690708482       150                      121.36161293346436       32                       4.535165548629728e-05    66357                    1.5336699085430887       331599                   0.066035                 0.92708063               1.7538111e-06            17.422285                223529.97                
300                      0.6161166367928187       830839                   109.38578546415079       150                      220.42032807439136       32                       3.4992058631096275e-05   81007                    1.5062381679287542       404849                   0.048569866              0.802692                 1.2151001e-05            88.36602                 1265367.0                
350                      0.7178912095228831       980226                   115.79303890266803       150                      225.28992374605082       32                       0.0002020965664053126    95584                    1.1013615214377133       477727                   -0.021548497             1.9161903                0.00046000126            8544487000000000.0       3.1777712e+20            
400                      0.8158024166689979       1130108                  113.56466396382814       150                      215.4108759544947        32                       8.522789709193714e-05    110208                   1.1880596902997014       550846                   -0.08595694              1.3397278                9.41612e-13              6742020700000.0          3.1329543e+17            
450                      0.913803661664327        1278837                  115.67898999530999       150                      218.1436686477637        32                       8.012770131586355e-05    124721                   1.142229495520478        623403                   0.074529275              1.205643                 3.5094692e-07            6.9455883e+16            3.2925333e+21            
500                      1.0089258686701457       1428284                  116.61369799594179       150                      220.9150206411864        32                       0.00010292296879527512   139303                   0.9737000553274318       696310                   0.043239444              1.3756882                0.002958785              1.974877e+22             9.5172235e+26            
550                      1.099522903561592        1570055                  122.31799491973443       151                      225.28017771189732       32                       0.0002046075519237909    153141                   0.9271449378732936       765473                   -0.28110775              1.9677335                7.968722e-21             3353495600.0             145539040000000.0        
600                      1.1879970469739702       1710526                  131.2810029591585        152                      229.74110575632236       32                       0.0007480582788128902    166853                   0.8473703638278584       834003                   -0.1992388               3.7571325                2.74211e-12              20211696.0               233573270000.0           
650                      1.265110303229756        1836274                  178.27015090985515       187                      223.95563079387713       32                       0.0041828609094387145    179137                   0.6524525414443597       895332                   0.79085666               9.122056                 1.1290218e-05            25.767776                20996.484                
700                      1.3302730219893986       1949744                  218.10308672402917       339                      220.19256185658344       32                       0.0023878355820973712    190212                   0.7572430326738431       950595                   0.2963051                6.728296                 7.5667845e-06            590.54645                15214243.0               
750                      1.3950412966807684       2063926                  222.54354081512415       406                      216.38498302961827       32                       0.0013651887266552401    201347                   0.6958009713906737       1006176                  -0.17412423              5.209647                 0.0014055615             27710.479                735351550.0              
800                      1.4565955481264325       2175066                  225.25713463825508       450                      231.9057741815659        32                       0.0012083850148636075    212181                   0.7238745861106302       1060248                  0.014286402              4.8206496                3.444965e-11             106.349365               1366555.4                
850                      1.5169168048434787       2286931                  224.74360710942483       458                      218.55553112044896       32                       0.001167330088797939     223084                   0.7248641762760917       1114669                  -0.01911437              4.813682                 1.6127615e-10            2201.3508                67665980.0               
900                      1.5760952926344343       2397304                  227.9471873081129        464                      227.9191858373355        32                       0.0012588912467344092    233841                   0.6318952320032198       1168359                  0.14402927               5.0204144                0.00042497602            66442.55                 938546940.0              
950                      1.6346261655622059       2507474                  228.42053985984782       479                      215.45311892122604       32                       0.0012997151499959678    244579                   0.6422798046167346       1221944                  0.16596197               5.07079                  5.848694e-11             15963.456                543112640.0              
1000                     1.692977966732449        2615465                  229.71760384563336       476                      222.58234810730443       32                       0.0008184111931107261    255111                   0.6970295372391094       1274468                  0.09365074               3.9190793                7.954179e-05             117237.94                4253025800.0             
1050                     1.7521161047617595       2726707                  228.59776566079705       501                      223.70425488160782       32                       0.000602524925545218     265949                   0.7402593439275568       1328568                  -0.3050381               3.4320621                0.00015447676            2.721004                 25774.545                
1100                     1.8090696297751532       2834758                  230.72929813962685       502                      218.2741763227372        32                       0.0016785633126530078    276477                   0.6035655068081383       1381108                  0.20922844               5.6041975                3.684344e-15             348678.38                12447259000.0            
1150                     1.8675700189669926       2943994                  233.5819158671997        510                      230.32080384480568       32                       0.0009489029359359008    287118                   0.6118118873009315       1434220                  0.13642254               4.2084856                4.3358734e-05            406934.56                9451961000.0             
