Iteration                Wall_Time                Samples                  Train_Return             Train_Paths              Test_Return              Test_Paths               Critic_Loss              Critic_Steps             Actor_Loss               Actor_Steps              Adv_Mean                 Adv_Std                  Adv_Weights_Min          Adv_Weights_Mean         Adv_Weights_Max          
0                        0.0007354434993531969    2099                     -240.35562704821317      22                       -221.36081640937545      32                       0.011721837696770728     203                      2.068498643395936        1015                     -32.86914                20.705479                0.005131007              1.5415317                66.22494                 
50                       0.09510411845313178      108684                   -136.92140189921358      1037                     -186.64807173146463      32                       0.005424353183728259     10536                    1.8578003741171059       52577                    0.80289036               10.426679                2.3361124e-05            2.854532                 28600.404                
100                      0.28276724848482343      244800                   -45.7702263072282        199                      -64.9491535298938        32                       0.0011578839996975844    23824                    1.6712260692192833       118956                   0.5276226                4.415746                 1.157235e-09             67.743164                1749458.5                
150                      0.4874204530980852       392266                   84.27913232069464        150                      185.0764762787456        32                       0.00021999682786114793   38213                    1.4999216750213311       190896                   -0.10976437              2.0496502                2.4455826e-11            2556064.5                122466940000.0           
200                      0.6714210413561927       541427                   108.41617855706909       150                      134.18559704801604       32                       0.00020855433806624428   52768                    1.270650047328285        263664                   -0.07191326              1.9579977                1.5710007e-24            633371.0                 25515140000.0            
250                      0.8547207397222519       689671                   109.89729220683532       150                      196.59279241592145       32                       8.290770237966609e-05    67234                    1.314323388838524        335985                   0.057305023              1.2097205                4.5257563e-15            55836668.0               2455323500000.0          
300                      1.0325031543440288       839821                   114.53499368868526       150                      224.885362868472         32                       3.5422498125061646e-05   81884                    1.3610034096363055       409235                   -0.06562243              0.81595683               1.4326198e-11            98.70304                 1823554.0                
350                      1.2035471529430812       988517                   120.170042799578         150                      235.84315231598995       32                       0.00013826246297842749   96393                    1.0441554588607596       481775                   -0.06564754              1.6612976                1.0977833e-06            42187750000000.0         1.1644557e+18            
400                      1.368509551551607        1134988                  122.25943286014416       150                      232.84897051780496       32                       0.0001700290259444266    110685                   1.033606248666809        553230                   0.039319575              1.7948104                1.2398347e-21            6587706400.0             290133160000000.0        
450                      1.533195870452457        1281467                  119.99647684044876       150                      223.11430785134442       32                       7.603616920957794e-05    124979                   0.9732389378466297       624689                   0.1787367                1.2534062                6.875195e-10             2.6037183e+17            1.2351647e+22            
500                      1.693346133099662        1426333                  124.42231249054547       150                      223.0122730057075        32                       0.0002652079172101851    139116                   0.8719512418675341       695363                   0.041225474              2.1634765                1.1492575e-06            132572820.0              2436871500000.0          
550                      1.851016687022315        1568788                  133.4723259710523        151                      224.4103462744449        32                       0.0008508754236733212    153021                   0.7871592802159927       764861                   0.35460114               4.045602                 0.010244267              15713339.0               82846310000.0            
600                      1.9846057936880324       1693623                  198.67636194785317       223                      230.6540333912721        32                       0.0038982783886869596    165213                   0.61730282994871         825732                   0.59264356               8.868755                 0.0049119447             19.02716                 33443.223                
650                      2.092157820529408        1802262                  232.80568620229826       488                      223.76380574450786       32                       0.001199388068560596     175796                   0.6014150310065307       878566                   -0.019113636             4.9008446                5.708963e-14             2.2952127                1546.5411                
700                      2.199787511030833        1911164                  231.47660623517757       492                      238.27371373575036       32                       0.0007868287818772452    186409                   0.6578716329133305       931525                   0.024972914              3.9856808                9.098007e-06             262.77316                8192063.5                
750                      2.304611342019505        2019426                  232.14461393745947       514                      221.77935497392326       32                       0.0007786291218040013    196956                   0.6435682037262599       984164                   -0.14911826              3.89212                  7.179735e-14             2.5719805                3765.0188                
800                      2.410007800128725        2128076                  232.8190672066946        522                      233.1587408795901        32                       0.0012214287820428904    207541                   0.5636108277095241       1036981                  0.34499094               4.8817406                2.6172446e-11            4.7099056                35694.566                
850                      2.5128611507680683       2236370                  234.73740766412155       530                      232.55454760294216       32                       0.0006193302828690101    218090                   0.6058329164100985       1089627                  0.22377338               3.4859693                0.0038767236             3.1679025                809.25305                
900                      2.6167678535646863       2345624                  234.7423739216629        541                      225.25173559254398       32                       0.0010253274552175931    228730                   0.627213396753456        1142734                  0.108461745              4.385797                 2.0841938e-16            3.3242042                29592.709                
950                      2.7205622712108823       2454169                  236.59846409521396       541                      228.1439797324539        32                       0.0005319926318863929    239306                   0.6212736621190152       1195496                  0.054400902              3.2019575                0.0025906714             2.8412158                1225.7786                
1000                     2.8230106049113806       2562711                  234.44479564114025       550                      229.13049540331914       32                       0.0009620068009924774    249879                   0.6168333424718659       1248255                  0.04135263               4.278641                 3.9045514e-18            2.2633727                3953.1218                
1050                     2.926671816971567        2670910                  235.83159496346082       550                      232.0985370590033        32                       0.0009109224550999128    260416                   0.6039302289371086       1300839                  0.119430766              4.0835767                7.438173e-13             291.83606                12037937.0               
1100                     3.030751693314976        2778508                  236.92191487629418       550                      236.0021662248555        32                       0.0005739030665626712    270898                   0.5645406685623469       1353140                  -0.022260373             3.4066503                4.0314294e-06            4.2687683                16136.375                
1150                     3.13468137509293         2885205                  235.12035156208123       560                      239.84702970012316       32                       0.0011891530882013907    281287                   0.564171866765098        1404989                  0.1745902                4.750014                 2.8134486e-14            5.725097                 63029.445                
1200                     3.2382605508963267       2992239                  236.1400056005155        564                      234.4297221168816        32                       0.0005053366271502664    291709                   0.5802274065758329       1457000                  -0.0004268935            3.1474693                0.009317332              2.9207206                1078.842                 
1250                     3.3435096836090086       3099863                  236.442160084712         569                      231.91383072919086       32                       0.0006903016300343755    302187                   0.6493561277351532       1509297                  -0.053777564             3.5985222                2.442789e-12             58.697895                2816529.5                
1300                     3.4492423182063634       3207675                  235.84644417338927       570                      245.62935173839205       32                       0.0007476384937763214    312683                   0.56616552734375         1561685                  0.007985355              3.7880654                3.556573e-14             2251803.8                99668470000.0            
1350                     3.5540552906195324       3315435                  237.47905656138164       576                      233.0906202167739        32                       0.0005126821406937521    323178                   0.5617616262146389       1614048                  -0.09340992              3.1831486                0.00017656173            2.8478394                1317.2726                
1400                     3.6578378362788095       3423556                  235.98965059173264       579                      230.1105252639909        32                       0.0010843934299789857    333699                   0.5245309273774309       1666581                  0.228577                 4.589087                 7.0625244e-13            3.4819152                38473.06                 
1450                     3.7628967179192436       3531797                  237.49191949236888       582                      232.0136089727492        32                       0.0010072290159688138    344239                   0.586301650167577        1719172                  -0.05063513              4.445142                 5.596969e-15             57.38837                 1712825.4                
1500                     3.8686495179600184       3639882                  237.90968542231772       584                      239.53234917025407       32                       0.001039224711281282     354764                   0.5531605453349664       1771686                  -0.08665136              4.481929                 7.8795097e-16            3.124597                 10324.68                 
1550                     3.971563843091329        3747283                  237.18021491031513       581                      233.42180648422595       32                       0.0010005000580861731    365219                   0.5856622189891582       1823867                  -0.14661232              4.4029555                2.9337516e-16            21.228949                654179.56                
1600                     4.07583442568779         3855032                  238.38934148676069       582                      235.9186190126147        32                       0.0005318374151275271    375708                   0.5832531784962058       1876219                  -0.00315067              3.144526                 0.0013109497             2.7810025                10823.216                
1650                     4.180921057860057        3963991                  237.07839756073898       598                      230.29130592513303       32                       0.0009536881875332599    386315                   0.5478024861728858       1929154                  0.13663699               4.152254                 2.7662862e-15            1608.4203                38766620.0               
1700                     4.284207130670548        4072168                  235.91973611697077       592                      225.6212029201101        32                       0.0008316907399105576    396845                   0.6139393231010978       1981710                  0.03626387               3.9452813                1.7805976e-17            3.8585033                56855.266                
1750                     4.3879080630011025       4180086                  236.39166222756273       595                      216.9979323802115        32                       0.0015041924774918927    407354                   0.567292959831621        2034139                  0.14088365               5.3867016                1.1567057e-12            2.2914777                20199.113                
1800                     4.4918982713090045       4287822                  236.7582814436702        592                      232.7213336965512        32                       0.0012606985379602308    417839                   0.5438557637341698       2086480                  -0.18163612              4.879672                 6.00891e-15              5.4607677                183540.84                
1850                     4.593368289868037        4395609                  239.11285114321478       595                      236.11364370819996       32                       0.0014386040408436846    428325                   0.4936856383680131       2138840                  0.03447625               5.313647                 4.0113285e-14            235.74323                7382542.0                
1900                     4.694179912474421        4502900                  238.00137970649436       592                      234.38168321327953       32                       0.0005307815010004704    438769                   0.5348604595850385       2190962                  -0.0010024249            3.3527322                0.0059129414             3.1024554                7179.236                 
1950                     4.7955441711346305       4610076                  238.2330922738182        600                      235.45996675485793       32                       0.0010907389768740026    449202                   0.5774946808815002       2243028                  -0.1814877               4.5284796                3.6526508e-13            22.277802                367563.53                
2000                     4.896724134683609        4718120                  239.26446150106398       599                      235.66644165197349       32                       0.0009139942568401958    459720                   0.5260917891317339       2295515                  0.12774861               4.1420527                1.3873591e-19            54.415348                2593687.0                
2050                     4.99755392226908         4824638                  237.7226477012163        596                      229.00486237242066       32                       0.0006114163569041661    470090                   0.5383722256111211       2347256                  0.29902226               3.473576                 0.005080109              2.9594388                12331.56                 
2100                     5.099973199764888        4932681                  237.42035295307937       607                      238.02535601258614       32                       0.0006592821507226853    480606                   0.5566067940848214       2399744                  0.008330415              3.588487                 9.736656e-08             101.65893                4925728.0                
2150                     5.200690291259024        5039974                  236.16267428093724       607                      235.75354921029964       32                       0.0007936646588040754    491051                   0.5114254211948442       2451861                  0.17878431               3.963596                 2.3971158e-10            27.488438                808634.8                 
2200                     5.302321972582075        5147371                  239.43944621923814       604                      233.99810601493922       32                       0.0006972748588248728    501503                   0.5482123375862173       2504031                  -0.054696996             3.597625                 1.6168325e-07            4.7312193                34630.69                 
2250                     5.4039739165041185       5254433                  237.80818239054628       599                      239.00546909119564       32                       0.0009678905405620537    511926                   0.5344717583172838       2556038                  -0.37143996              4.321965                 4.40975e-15              1.7689674                3260.8857                
2300                     5.505496922334035        5361200                  236.98417883845326       609                      236.60499774374966       32                       0.0009285063977446852    522320                   0.5044706201827915       2607900                  0.19932301               4.2891846                6.195433e-19             34253.16                 1318119200.0             
2350                     5.607999469306733        5467573                  236.9271596302616        605                      236.96787643721848       32                       0.0012719002815912354    532675                   0.52379477755769         2659572                  -0.09577011              5.0413017                2.654876e-16             1.7382554                4926.5947                
2400                     5.71158941772249         5575274                  237.91844892074923       608                      238.71695967838846       32                       0.0013147307354867744    543156                   0.5194372687335211       2711882                  -0.05724645              5.024311                 1.5144402e-13            101.7218                 2576410.2                
2450                     5.815306478275193        5682503                  236.42299985044858       609                      231.37150132269892       32                       0.0020880972466817715    553590                   0.536053185831905        2763968                  0.057203047              6.414483                 4.2493943e-13            3.3428404                33736.812                
2500                     5.918755293356048        5789408                  238.51983673233363       609                      238.56119072089425       32                       0.0014140445668742341    563998                   0.49510181355026534      2815896                  0.011548427              5.165269                 6.4256945e-17            33.74722                 1536534.2                
2550                     6.022482477492757        5896603                  236.2534269937491        616                      237.12819580205823       32                       0.0012676956334916672    574429                   0.5196020749535891       2867961                  0.124156274              4.9279428                1.656916e-17             10.0206585               117346.555               
2600                     6.126004355417358        6003948                  237.8997477655844        615                      235.30524174460623       32                       0.0006649637714438482    584877                   0.5258824998562558       2920102                  -0.011801144             3.6235027                3.0162133e-11            8.362682                 214607.39                
2650                     6.230689894556999        6112023                  236.90842197394548       611                      236.7374159062178        32                       0.001119745144911852     595398                   0.5025661454001307       2972597                  0.3080681                4.651261                 4.7320724e-15            118.06698                2523185.2                
2700                     6.335611951086256        6219422                  239.0830115464948        608                      234.14801120853684       32                       0.0009577290471551454    605853                   0.5057570265215847       3024766                  0.12176499               4.3996096                9.4837986e-21            25.807316                389862.9                 
2750                     6.4398606536785765       6326251                  237.3763039268014        612                      240.8973004204228        32                       0.0015350055809204395    616253                   0.49734237847641166      3076654                  0.116795145              5.447813                 8.639498e-13             3.6119905                44724.37                 
2800                     6.543961279922062        6433720                  237.26935440363863       609                      234.9953949483025        32                       0.0014949663443499447    626712                   0.5254536308485643       3128855                  -0.082075916             5.405269                 9.838672e-13             27.897614                816986.25                
2850                     6.646286316249106        6540883                  236.49513140595212       614                      235.52236254213184       32                       0.0018069520592689514    637142                   0.5036436011676583       3180904                  0.16354303               6.011086                 4.2293412e-13            2.09409                  12406.914                
2900                     6.748294915291998        6647937                  237.12189072552448       616                      233.43308428699936       32                       0.0009836797183806743    647560                   0.49868987197176035      3232898                  -0.020064134             4.404313                 7.856999e-16             2.1815271                4297.63                  
2950                     6.849827406803767        6754636                  237.7220686764913        612                      238.63637690871823       32                       0.0014934026613468076    657944                   0.4951109704027914       3284724                  0.061356578              5.326886                 4.3502837e-16            5049.378                 250365000.0              
3000                     6.952317376534144        6861939                  239.61925677386995       618                      231.29229379450092       32                       0.0013189203855468005    668387                   0.4774467639792583       3336843                  -0.10252285              5.0870194                6.583985e-14             2.4977617                4688.945                 
3050                     7.05512993560897         6969391                  237.47259571193726       621                      233.57965243270291       32                       0.0009849064372943349    678848                   0.5144250324271233       3389028                  0.07962178               4.38545                  4.5894075e-10            65.78297                 2730782.8                
3100                     7.158674197528097        7077007                  238.0904829352788        620                      232.96356382236473       32                       0.001139533810499238     689325                   0.517170109160959        3441296                  -0.21785644              4.8250375                4.559176e-14             231.75917                1746874.4                
3150                     7.263999942806032        7184530                  237.74767430066612       610                      234.44099532305802       32                       0.0020906510624555076    699792                   0.5101892452428837       3493523                  -0.057089366             6.408741                 3.491347e-12             3.0797846                7337.7417                
3200                     7.369283573627472        7291695                  235.38851976503705       613                      238.90506828229817       32                       0.0018335539274490797    710225                   0.4991566584660457       3545575                  -0.1410206               5.885637                 1.13173265e-13           86.53009                 3523184.5                
3250                     7.473594720562299        7398727                  236.45015960574736       616                      234.8467808701779        32                       0.0008408387946845287    720647                   0.50856202513307         3597566                  -0.06154845              4.0408087                8.332279e-21             6.720084                 63589.37                 
3300                     7.577643747660849        7505455                  237.70465115689962       602                      239.75982346958781       32                       0.0013328742182425904    731034                   0.5122378411420917       3649415                  -0.26469287              5.059851                 5.0892988e-15            3.8542516                56261.52                 
3350                     7.680971190598276        7612476                  236.81845797982837       623                      242.45303333753714       32                       0.0006941131394893969    741449                   0.5131143270791708       3701389                  0.04975775               3.7666967                1.363768e-07             2.4241748                3294.1553                
3400                     7.785609872274929        7720472                  237.29438079706932       614                      241.56742394045915       32                       0.0008795598399973361    751960                   0.5387720411068925       3753846                  0.0466784                4.0904956                1.4653522e-05            1124.4441                36172460.0               
