Iteration                Wall_Time                Samples                  Train_Return             Train_Paths              Test_Return              Test_Paths               Critic_Loss              Critic_Steps             Actor_Loss               Actor_Steps              Adv_Mean                 Adv_Std                  Adv_Weights_Min          Adv_Weights_Mean         Adv_Weights_Max          
0                        0.0006655197011099922    2150                     5.747004998221823        94                       52.03572057679093        32                       0.0051496764320639234    201                      4.849246568413845        1004                     0.89355564               7.243078                 0.012553855              1.6501048                28.608332                
50                       0.05572900493939718      110724                   115.78359393798875       1015                     267.3424665385721        32                       0.006217408393110547     10733                    4.731838383273703        53549                    0.72334844               11.048613                0.00010962863            1.6462411                165.2854                 
100                      0.11230239636368222      218547                   288.4276891670353        586                      272.0835444169102        32                       0.001659062518892695     21227                    4.511905731635071        105931                   0.15327688               5.703635                 1.2439497e-07            2.9267654                8122.519                 
150                      0.1684265630112754       325663                   287.5069439945847        660                      278.4108567991131        32                       0.001764144967584049     31645                    4.175681286909449        157935                   0.052102137              5.925962                 1.5161172e-12            1.8923067                2087.2285                
200                      0.22435596572028266      433056                   298.68010198296065       686                      302.5272324589389        32                       0.0023244328442074006    42092                    3.9878376968034353       210062                   0.12013966               6.7208323                5.337173e-11             1.9565347                7877.5425                
250                      0.2801295930809445       539998                   330.7590196963608        656                      388.10346226328153       32                       0.004558538568430933     52498                    4.110652451934965        261987                   0.15111971               9.359816                 1.0662052e-08            3.8812075                34051.19                 
300                      0.33627782768673364      647346                   419.5367789863909        575                      688.7850096386456        32                       0.004998832792785037     62951                    4.516996374158774        314148                   -0.5255401               10.055983                2.3138884e-09            2.0752048                2214.0063                
350                      0.393637345234553        756083                   622.5004177275393        450                      1838.044808154133        32                       0.012433455985726661     73557                    4.696932662785749        367048                   -0.061590802             15.603785                7.069696e-07             1.8056439                572.1679                 
400                      0.45513412210676407      869473                   1138.3586121425253       304                      2544.133657252978        32                       0.013871907036085636     84625                    4.364823688832364        422294                   -0.6414068               15.498206                1.7254832e-08            1.907982                 2625.4517                
450                      0.5181095135874219       984254                   1633.22666455779         233                      2579.305504731625        32                       0.012861824854249094     95836                    4.178036084068417        478250                   0.033244044              15.738526                1.12704915e-10           2.1059113                8296.746                 
500                      0.5828392735454772       1103257                  1943.7161596234207       214                      3063.1251064190865       32                       0.010392370103280755     107465                   4.417884691455696        536278                   0.43090588               14.058651                3.9214235e-12            1.7049228                1530.1497                
550                      0.6478556897905138       1221878                  2196.7673818813205       196                      3847.783907477972        32                       0.009742837460314641     119056                   4.534390153556035        594129                   0.68506664               13.584461                3.2105115e-06            2.0915086                4042.5896                
600                      0.7159839043352338       1344180                  2608.658047557469        176                      3839.6583730191255       32                       0.012392651254885664     131009                   4.360826572750703        653783                   0.26186648               14.839443                2.177138e-06             2.5470798                4032.4053                
650                      0.7841495227813721       1466613                  2849.958482914564        164                      3944.8538231451694       32                       0.011376611466677684     142976                   4.377173221472538        713507                   0.09434503               14.794406                9.799134e-06             2.8725774                29516.102                
700                      0.8539190314213435       1592854                  3011.8463858275218       161                      4152.789216355062        32                       0.0075412890804347705    155314                   4.349581317047575        775090                   0.3977046                11.887753                6.066245e-08             2.6641042                9545.827                 
