Iteration                Wall_Time                Samples                  Train_Return             Train_Count              Test_Return              Test_Count               State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Exp_Temp                 Exp_Samples              Critic_Loss              Critic_Stepsize          Critic_Steps             Actor_Loss               Actor_Stepsize           Actor_Steps              Adv_Mean                 Adv_Std                  Adv_Weights_Min          Adv_Weights_Mean         Adv_Weights_Max          
50                       0.05811836110221015      108120                   150.9787152519568        857                      58.288530026946155       32                       -0.043465286             2.3673253                0                        0                        1.0                      0.4                      10.000000000000002       107570                   0.0048310105             0.01                     10532                    5.1233964                2.5e-05                  52547                    0.6623088                9.769671                 9.4032e-05               1.7781667                1263.3352                
100                      0.118253879348437        215851                   281.4684645278541        616                      262.2331487513329        32                       0.047249097              2.2959778                0                        0                        1.0                      0.4                      10.000000000000002       214438                   0.001326932              0.01                     20993                    5.2062654                2.5e-05                  104753                   0.12795986               5.090933                 2.5720186e-05            2.270458                 9066.84                  
150                      0.1786319080988566       323224                   271.7025191657881        698                      255.41542450586496       32                       0.07720801               2.269431                 0                        0                        1.0                      0.4                      10.000000000000002       321102                   0.0005799763             0.01                     31431                    5.0622697                2.5e-05                  156860                   0.10208001               3.3941436                6.639531e-08             2.3345878                15428.275                
200                      0.2390248723824819       430498                   308.59056228847106       700                      273.1830449363459        32                       0.07720801               2.269431                 0                        0                        1.0                      0.4                      10.000000000000002       427725                   0.0028176098             0.01                     41868                    4.9836516                2.5e-05                  208945                   0.9411906                7.4839754                5.23145e-10              1.702883                 228.17043                
250                      0.2997306144237518       538128                   450.1486465415191        574                      375.877905634584         32                       0.07720801               2.269431                 0                        0                        1.0                      0.4                      10.000000000000002       534838                   0.009996804              0.01                     52354                    4.503205                 2.5e-05                  261271                   0.28705582               14.035123                3.7417723e-07            1.5184461                142.53642                
300                      0.36167807314130995      646731                   606.2512950443269        485                      878.182520153295         32                       0.07720801               2.269431                 0                        0                        1.0                      0.4                      10.000000000000002       642955                   0.009418346              0.01                     62939                    4.618542                 2.5e-05                  314089                   0.22432849               13.51338                 3.598988e-08             1.5628109                170.68896                
350                      0.4241032988495297       755305                   785.1466247853605        415                      1133.1946242937533       32                       0.07720801               2.269431                 0                        0                        1.0                      0.4                      10.000000000000002       751232                   0.01315225               0.01                     73537                    4.413431                 2.5e-05                  366986                   -0.18354376              16.404129                4.0273733e-07            1.5048856                568.6974                 
400                      0.4880539908674028       868038                   1109.3647578668013       332                      682.0780460061194        32                       0.07720801               2.269431                 0                        0                        1.0                      0.4                      10.000000000000002       863713                   0.011948301              0.01                     84545                    4.9485726                2.5e-05                  421935                   -0.83195823              14.965982                3.1241234e-07            2.145945                 7158.855                 
450                      0.5563606368833118       986907                   1695.7311399823063       242                      1612.8538659323874       32                       0.07720801               2.269431                 0                        0                        1.0                      0.4                      10.000000000000002       982288                   0.012926504              0.01                     96150                    4.509668                 2.5e-05                  479860                   0.38931227               15.6041975               5.488644e-10             1.5779536                542.86993                
500                      0.6264927023649216       1106345                  2254.1235263997496       192                      2619.1199919261076       32                       0.07720801               2.269431                 0                        0                        1.0                      0.4                      10.000000000000002       1102146                  0.01413689               0.01                     107881                   5.021533                 2.5e-05                  538410                   0.8381529                16.388725                2.7588783e-07            3.2664144                20407.123                
550                      0.701201647453838        1230859                  2607.1876779752156       180                      3613.341939368864        32                       0.07720801               2.269431                 0                        0                        1.0                      0.4                      10.000000000000002       1226480                  0.016380161              0.01                     120046                   4.732083                 2.5e-05                  599142                   0.5480594                17.764526                3.954925e-08             1.9368376                2468.2944                
600                      0.7751541729105843       1356431                  2472.7044486063087       195                      3342.6718985395314       32                       0.07720801               2.269431                 0                        0                        1.0                      0.4                      10.000000000000002       1351055                  0.022058185              0.01                     132237                   4.4896417                2.5e-05                  659993                   0.22175564               20.701485                1.600291e-09             1.68728                  1612.3376                
650                      0.8493982155455483       1476197                  2641.6995869973307       182                      3838.4142939541366       32                       0.07720801               2.269431                 0                        0                        1.0                      0.4                      10.000000000000002       1470951                  0.018256303              0.01                     143971                   4.983947                 2.5e-05                  718556                   -0.029746035             18.881584                7.626695e-07             2.7448902                14813.036                
700                      0.9245395761066013       1600199                  2815.5240671492834       182                      4225.416120839944        32                       0.07720801               2.269431                 0                        0                        1.0                      0.4                      10.000000000000002       1595261                  0.02272109               0.01                     156134                   4.3586144                2.5e-05                  779277                   0.38533834               20.85926                 2.8815253e-10            1.5722873                1470.8964                
750                      1.001948982808325        1729720                  3098.1311808487194       175                      4281.105017474898        32                       0.07720801               2.269431                 0                        0                        1.0                      0.4                      10.000000000000002       1724607                  0.02501266               0.01                     168789                   4.6131787                2.5e-05                  842459                   0.489195                 21.718063                1.364887e-07             2.0244548                5693.831                 
